Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.04121034321282788,17,-1428,2610,2473,-1513,3641,3625,-5523,3677,-6520,-861,40,-5540,138,2442,-1157,-7279
2,0.3062101614603491,85,1372,1220,-5188,-5011,-7664,6721,2202,-6719,1704,-1591,104,7816,71,7970,-3074,-5994
3,0.561591210877779,-91,-7215,6434,6836,-4606,5895,237,7418,-4672,1629,-1178,225,-3183,56,-3248,-6793,-496
4,0.8276712803286085,-61,-3011,1907,-5363,-4326,7891,427,-3334,-4985,-8161,-5790,44,-1228,-46,7086,-1376,-427
5,0.9716239477066044,27,7149,6302,-71,7629,1662,-1779,-4837,2662,-5657,2328,111,5599,117,2961,-5437,-3480
6,1.045636978290201,-10,-1042,-1675,-7963,-5077,-3653,-208,8054,-940,6133,7923,34,6830,8,5394,6962,1497
7,1.1152079782923392,105,393,220,1265,-424,-6717,4386,-3931,-307,2252,-3540,112,2201,-57,2301,57,-1076
8,1.1886000568778345,-86,7868,-3108,5162,-7993,323,2167,-5088,6233,4578,-132,113,-951,61,-3296,4687,1948
9,1.264811223322478,-56,-4176,4666,-6449,1367,-396,-1063,5425,6521,-864,1458,227,8005,86,-3535,-3800,-921
10,1.3320703317944957,-47,-7901,-3093,3592,5943,-5555,-7426,-3287,-3440,4860,5352,35,29,-67,5755,-758,4141
11,1.3988547455572211,-51,-971,-5460,-4180,-5291,-4580,5818,2826,-7072,-7867,-572,117,-1434,38,5104,7381,7474
12,1.4727125381412922,-4,6276,2605,-8060,2024,4601,1415,-5543,3585,-3310,2677,55,-3538,-86,3347,7310,-3833
13,1.5525219760129494,-13,-5995,2228,2789,397,-3070,-4270,-1513,222,-659,-794,251,6847,58,-2277,3607,-313
14,1.616560430560931,27,-8183,7449,-6934,-4312,-4720,6391,-5664,7775,-2234,1979,104,6926,136,-7444,608,-4594
15,1.6904455929300424,-62,6092,-5157,8141,2576,3194,-555,-4369,-6298,1159,-1877,81,2623,99,3445,7590,-5690
16,1.7675924639007503,62,-4744,3282,4039,-5988,-7536,1136,5188,5271,4753,-739,92,574,141,3239,-7112,2584
