Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.03453938576215229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0974522579003526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.1591706955132797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.22151821052924184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.28727112551826184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.34310463169463873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.39869437572300065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.45761895699736355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.526936358834988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.5897145203124432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.6428880255052184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.6994904515800705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.7604480946994563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.8173229356660373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.872180537944572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.9339601299209483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.9925844988656507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.053871007058411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.110717195281278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.1715704910951976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.2329574977174027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.2918696770579192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.3501946889787435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.4106152000667138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.470153890892918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.5255062875666336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.581743925725246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.6386666638156473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1.6985718531696563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.7549805524847701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1.8194321197257035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1.8811484190741743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.940276135471883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1.996695098456387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2.060898627020393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2.1202718161776812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2.1745037622763106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2.232058143687095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2.2856024239365875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2.3521571880967094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2.4116000846752725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2.466654407283784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2.520757202209255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2.5816455655602573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2.6373717308609295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2.690274959426432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2.7500633995411286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2.8123570302927927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2.8719042741768215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2.9284489671113545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2.9862945801410827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3.046191644090158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3.1044905691846156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3.159241258240337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3.2231385873342044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3.282617834408524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3.341699364293977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3.399951247570397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3.4545800555521105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3.519032050445935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3.579546645169981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,3.639471506556988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3.696137652912637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3.7564140449762546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3.8141275132625854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3.8750573589440394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,3.932268335083146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3.988310108217564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,4.050627687531138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4.109253339434515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,4.168362239105008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,4.226937427967216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,4.282695239581841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,4.339212990384225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4.399052321192981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,4.458492651854196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,4.516453303511672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4.582328954880482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4.649283146841035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4.7072827149116145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,4.772510044497284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,4.833870536640231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,4.89644214177121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,4.958161007037028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,5.020648792201322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,5.083735719066262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,5.135458197999012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,5.197334439528812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,5.259723436875226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5.314328296295029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,5.3725070509270445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,5.434677089993136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,5.496682055043204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,5.554369008850276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5.612551612358313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,5.6653060177176595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,5.720746083234082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,5.783663231901195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,5.847128631574896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5.909255905351862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,5.9687706476161555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,6.025566800450746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6.087820659483524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,6.152276930906261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6.21634532115663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,6.272005627912049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,6.331726926522818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,6.385684747118154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,6.4418706392769245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6.498426023533739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,6.558938052340437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,6.611768579914426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,6.664460547951649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,6.719702182526531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6.784876055500792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,6.851981208931958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,6.910381487761644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,6.966341151540941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,7.0205589850941585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,7.079508370236214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,7.136126619468042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,7.1962888282096955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,7.250625549266682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,7.311215410899589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,7.3668988109111355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,7.425571932285441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,7.494523690901043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,7.560413454815265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,7.623954121397826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,7.692227194875008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,7.75213708841082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,7.817538472723229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,7.874604474532201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,7.930522655981046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,7.991502537050778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,8.052653906929901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,8.109008294327825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,8.166982630877822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,8.235797112915332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,8.293277938028819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,8.354538359395214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,8.415575118299481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,8.475542317322722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,8.547289215235562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,8.605250294545929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,8.662054145132561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,8.71749250003742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,8.774682948837746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,8.835889913592734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,8.893280503946167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,8.952445853798306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,9.011992670029445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,9.075993918775886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,9.145673542612403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,9.211573570196014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,9.273558007907303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,9.335036959901126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
