Sampling Freq:,Counter:,Time:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,T8:,O2:,O1:,AF3:
,1,9.26723718388981,815,362,-2295,-8030,5480,-5508,2707,7097,-6460,2763,1246,5962,7776,5159
,2,9.303650101396457,815,362,-2295,-8030,5480,-5508,2707,7097,-6460,2763,1246,5962,7776,5159
,3,9.334061340793877,-827,-4019,582,1403,3417,-7361,-5359,-7170,7669,-2204,7608,2255,-2553,-6393
,4,9.363715207244779,-6428,1215,21,6750,-2218,-2941,-3530,-6110,746,-2566,2374,1237,-742,-3916
,5,9.396413533326548,864,7584,-1492,6144,-1362,4812,-2351,4904,1803,-4874,7045,-4658,-4560,-7733
,6,9.428543508958896,-3071,4362,2372,-3146,-3859,5981,-5658,1004,-4911,-2215,2430,2149,-4962,-5150
,7,9.459859233834514,-3338,-1331,5964,6160,-4058,5730,5003,7941,-3990,69,-5140,-3216,3071,2321
,8,9.490351299593815,-6820,-6980,-7571,5123,-6225,6370,1100,1959,-6749,3749,2109,-1691,-6479,-7340
,9,9.522591609624923,604,-2637,-7326,5275,-7849,-1262,278,1133,6624,7580,8134,5726,-74,-1528
,10,9.554036485618466,-698,-4430,1921,3598,-1624,-2675,7134,281,6155,-1634,7114,-3259,-3803,-1074
,11,9.583929837586055,-6233,-2880,-6297,-546,973,3903,7760,-4824,1756,6161,-4965,2607,1555,-1786
,12,9.615944774639852,-5077,-8119,6224,-6663,-5663,-8109,974,-7191,5916,-2635,263,4630,690,-1736
,13,9.648494705231817,1690,6970,-8061,-6663,-5957,-3922,7392,7070,3093,2790,-774,-3491,-7593,-1447
,14,9.681216979865255,4836,-3086,3234,7203,-4238,1320,7686,2825,6528,-2259,-4414,97,412,4652
,15,9.712017810879997,6753,-7479,7209,3380,521,5411,5640,1422,1409,-3261,549,-1661,1566,-2422
,16,9.743208233512064,-4385,305,-1882,-3140,2473,-872,-5068,-5347,2370,3871,3782,-2125,-6414,-5173
,17,9.773389395752382,3591,-4189,3248,2616,-267,1461,6623,80,2772,-5575,-7449,1896,-3700,-2542
,18,9.80716198543757,-6910,-2070,4674,-4950,-2756,-6066,6234,-4043,465,-1393,898,-4530,2178,-2956
