Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.020512859988590187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.036576405977236826,6,7733,6314,3858,1141,-3845,-708,2531,3209,1171,-2009,0,-4,48,-7885,7700,-5380
3,0.05228115011602258,-76,4521,-4531,-5331,-2731,-7521,8012,-5931,-7405,5819,-2870,235,1745,24,5197,6786,6432
4,0.0674859665283633,-76,4521,-4531,-5331,-2731,-7521,8012,-5931,-7405,5819,-2870,235,1745,24,5197,6786,6432
5,0.08543076321729365,45,-7450,6746,5735,-4512,2255,3938,58,-4474,7566,4253,235,3167,126,6173,2066,-1172
6,0.1013044307538089,45,-7450,6746,5735,-4512,2255,3938,58,-4474,7566,4253,235,3167,126,6173,2066,-1172
7,0.11925307633028245,119,-1719,2435,3096,1647,-1596,2236,6271,-7051,3765,-6545,235,7413,141,-4109,-6765,3526
8,0.13639302786851173,112,2983,-3916,7364,-6100,-810,2594,-5381,-5597,2478,1047,82,3611,-31,1505,-3848,-5954
9,0.1524963456951048,-4,2134,-8175,3995,-5221,-5906,3600,-6502,-774,-139,-7646,251,-7312,-62,7795,4266,5242
10,0.16803986421124747,-4,2134,-8175,3995,-5221,-5906,3600,-6502,-774,-139,-7646,251,-7312,-62,7795,4266,5242
11,0.1840503810826322,-78,-793,-7315,-4811,7223,-1341,4514,4093,7319,-4628,8030,251,-5412,-57,-199,-7823,562
12,0.20284620957278204,-84,-1636,-3955,6855,-1336,-4785,-951,-156,-3073,1181,3792,53,-2802,94,-8091,-5109,-1333
13,0.2198112505548813,-88,-7747,-1734,7551,24,6876,-2323,2961,2171,5659,7307,108,3022,126,-6964,-6146,3757
14,0.24012225777453902,-88,-7747,-1734,7551,24,6876,-2323,2961,2171,5659,7307,108,3022,126,-6964,-6146,3757
