Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.036846573110469155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.30391409308720485,91,1745,1118,-5250,-5965,-202,-3101,-1308,5743,1597,-7918,101,7876,87,8160,-6148,1237
3,0.5681398596015558,116,-525,88,5116,-1169,7164,-6007,7493,-4806,5202,5999,253,-6596,66,5821,4306,5610
4,0.6838263814792086,76,-7080,6219,-7579,-7268,-937,-4614,-4967,-1111,-8085,3869,22,-4892,76,-1126,-6750,3251
5,0.7567805435040595,-71,1335,3519,3295,-1525,3115,1647,-3708,-5749,4335,4515,57,-670,22,-2362,-3886,7108
6,0.8357770132294422,-103,7158,5626,-1077,-362,-1580,6711,-7053,-8054,6124,6038,61,4956,-26,7777,-3229,-6214
7,0.9024878706948718,139,7925,-2323,-5054,-5701,-2554,6283,-2300,-6379,7545,-7748,42,-1082,-28,3237,7929,-6116
8,0.9742044052524328,71,-7227,-1606,1131,-5848,-3763,-1180,8104,-7759,3171,-4595,244,5400,13,2584,5494,206
9,1.0436227331723933,41,-7315,-402,-152,7340,4140,7272,-2276,4348,-5887,2401,97,5419,-35,5138,-6068,-2173
10,1.120634893482356,143,2573,-1556,1829,5112,-6242,-8090,-324,7215,-3627,-5475,245,590,-76,4745,3236,7689
11,1.187140905212875,-62,-7289,-5676,-16,7521,-1647,1334,-2882,2494,-81,-5325,127,5329,3,496,4392,882
12,1.2608768167229387,-38,-1490,2118,-6720,7676,1885,-6228,-4171,-4789,3390,-3180,244,3906,-36,-7606,-4539,-2830
13,1.329714819669467,84,-3836,7348,-7252,-4569,-3241,3582,3140,807,-635,6800,113,5813,129,-6010,7368,3296
14,1.400867707716355,-38,-2362,1600,-5150,2014,-433,-944,3432,3095,3389,1331,255,5106,-91,2375,6685,481
15,1.4709826821961687,-25,-7523,-30,5230,2740,-1700,-1814,6666,3359,545,5848,112,2562,-37,6512,2811,-5663
16,1.5448567255901076,-8,2830,-6847,-1802,2154,-2226,-870,-6112,-6397,-7637,-3526,227,1111,-88,-5172,-5528,6536
17,1.6110454188753156,-54,8140,4044,8101,-7844,-4701,7913,2442,-6012,-3145,2886,58,-3137,75,2416,-5703,-3157
