Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.040419613016898705,43,7464,5546,-5623,7575,2589,-5648,-6305,1664,1924,5088,91,-3651,-31,-5885,8137,-941
2,0.2808969591741167,63,2119,2006,3451,2928,3117,-5445,800,8126,-727,-6076,62,-7648,24,1412,8106,-3510
3,0.5549373595427536,-20,-4695,-1855,-3580,-3893,2763,2249,5340,-3764,2589,-3920,49,8172,90,860,-3050,277
4,0.8074685300928648,36,6387,4458,162,1130,283,2137,1116,-6902,-3277,-4595,228,-3612,-39,-793,-3795,-3770
5,1.067656825660884,-49,-4076,-4363,-549,1149,6576,4520,-3457,310,-1256,-5127,95,-6034,-65,4752,-7965,-2687
6,1.3321772450173093,14,7959,-2459,5691,1239,4001,2985,4069,7725,-5804,-7209,124,3922,90,254,3321,6016
7,1.586555876057639,43,6773,8066,2300,7519,5793,1132,-6953,3728,376,7495,91,2350,37,-3558,4014,-7159
8,1.8387034419642954,120,6585,-2209,-5934,3947,-1289,-3200,2201,7218,2651,-7190,33,3322,-82,-4996,-992,7267
9,2.084424667874073,86,-3617,-7209,4869,-3836,-5800,-824,5909,1097,-5697,1116,237,-7177,-88,46,-5990,7534
10,2.3546679382212634,37,8061,-304,4766,3053,6151,-3062,-7791,6101,562,3220,111,-1459,17,7904,5088,-1806
11,2.6241931793640374,32,-2398,-3960,100,-5296,3355,5378,-6198,1205,-3519,-1022,40,2833,-71,-164,-4442,4005
12,2.872387521943939,-71,-836,91,4266,6579,4611,2637,-6789,-5338,3599,-3056,18,-5336,-9,3368,-6551,2962
13,3.0540365087273265,81,769,2726,-1071,2421,-7697,-1726,-5484,3018,3475,-1212,240,8058,83,-5896,2201,-5
14,3.1284305780370305,126,3637,5150,4640,-3334,5319,-2434,-3110,1159,-4318,-2293,242,-4318,139,5367,-4190,7517
15,3.195122618775245,133,-3055,223,6683,-6162,7019,-2144,-5136,-7450,-7036,5680,47,-5278,-105,-6526,7157,2307
16,3.2647209885624235,62,1394,6756,-2413,-1183,1707,-765,3150,-3954,2700,32,124,-6007,-80,5492,3178,1853
17,3.3317316307046223,149,-5002,-7926,-5847,-3874,5044,7628,-4231,527,5531,-2350,17,-4013,-9,973,-1521,-2569
18,3.4072829287380606,5,1831,-6681,-2564,415,3362,2140,-7456,-6932,995,-1866,239,1168,54,7966,-788,6787
