Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.03827707203171474,76,6196,8133,-1752,-1148,179,2635,-2556,-6005,2594,-1906,95,-8154,-33,-3757,-7574,660
2,0.31214299002071977,-90,5125,-5750,-2748,-7244,1406,-5726,-4938,-7411,-5943,3860,22,-848,24,3456,4755,176
3,0.5723757614894295,-39,-7658,-6729,-1983,3209,4460,-2829,-1304,-330,4245,-6198,227,6634,-26,4088,1440,-7304
4,0.8382869080482136,72,1975,-7657,-7838,-577,8136,4905,-8033,-5742,809,-2306,32,-3291,-91,298,-2927,3413
5,1.101329359012464,-30,-4093,3567,8095,651,-6298,-4802,-5758,-2054,-1333,2242,113,-4907,80,7671,-6385,7293
6,1.3691362908381783,5,-7218,-7869,-4731,4265,-3692,-6012,6715,7254,-4073,5580,105,-8091,-9,-6098,-204,2050
7,1.6204969754249265,149,3397,3023,1540,7872,163,-3306,-4508,-1113,-5980,3962,18,-7827,91,6758,7548,258
8,1.8797564089131416,58,-1913,4387,-24,-7231,4317,36,3767,-3240,56,-7141,96,3585,2,-455,-2186,-4681
9,2.1384004498908418,26,-3873,-4327,809,-6881,6272,2507,-4402,5591,2785,-7342,102,7508,-83,-7746,3210,1231
10,2.389974960923217,-102,70,-952,-5791,-6568,-4029,3814,-3548,645,-5647,6132,113,5949,114,-5666,7907,5291
11,2.6468027600717603,15,6385,-4966,-3648,-1270,-8130,-1880,1636,7695,-915,-6970,108,2716,-45,2809,6024,6939
12,2.9004081946847022,-98,7957,8062,-5364,-459,-3012,-2060,8116,7512,3015,-3713,244,-4280,91,-3464,-1244,3622
13,3.1515623229249745,-105,3533,2542,544,965,-7275,-2138,-4526,-5131,-988,3472,85,5033,27,1500,-7466,3036
14,3.415230002416239,34,2670,-4953,2982,7510,-2675,8030,1869,-2536,-8050,6775,19,-2441,48,617,2776,644
15,3.658750098894731,92,6434,3918,-1412,7709,4229,1485,-5668,-5267,-7447,7457,93,5506,-19,-6019,157,-7488
16,3.919022214429436,12,-6047,-6384,-4570,697,7523,5465,7637,7121,-1352,-2731,17,-3897,65,-3098,-6342,-5180
17,4.206693623053912,-55,-3727,-2537,3108,-4388,7799,658,-4210,1266,-5861,-271,54,-6434,-60,-1859,2050,-7048
18,4.4573260147668545,148,-7382,1260,-1085,7134,-4362,-1140,-2905,-2940,-535,-6816,54,-4300,0,6721,7712,5659
