Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.038884339137295824,105,-5453,4294,-3663,-4592,885,-2153,1746,4137,3982,-430,56,-2488,29,-5590,7531,5120
2,0.304233977449863,-71,-8014,-6818,-2682,5309,-4754,-3489,5598,1246,-2871,-6188,35,-799,102,-151,5586,1838
3,0.5618529344472266,130,-1303,-4327,1010,-4890,7095,-460,6996,-361,-6615,-3237,120,6686,-59,-5572,2812,-3741
4,0.8203725284335716,41,2172,-6972,-4502,-37,-8029,-4664,7853,695,7360,-7141,26,-1971,79,21,4184,-691
5,1.0697446270759876,-76,-5850,748,1418,6164,5929,7455,2972,-3359,6791,1696,37,-2909,-73,-871,-8057,-690
6,1.3291751217207042,-104,-5468,5543,-241,1574,-3424,7001,1306,-1934,-5768,8000,122,-8049,64,7207,2360,-218
7,1.5866709146853866,-14,2260,849,6700,-2235,5703,1664,3967,-1021,961,-7458,90,-2746,-76,7195,-6419,6399
8,1.8589716230924007,82,697,627,-5982,4433,1600,1035,-2170,-5561,-6605,-7308,247,-1049,12,-3263,-1420,3637
9,1.9266682204721715,-45,1813,4205,-1061,3320,4390,-3114,3532,-7107,-4097,3238,116,1456,68,-7315,3105,3205
10,2.0050291980011505,-70,-2138,3049,7007,1699,-6708,671,4202,-7440,-2551,7288,48,1933,-96,-4751,-7841,-165
11,2.0733116798419395,66,-1961,-1546,2923,5032,-4961,-4248,1414,6394,439,1682,56,6771,-87,-4547,-3635,-3849
12,2.144985876763266,33,4024,-6699,5171,-2548,-7007,2505,7724,6785,3241,3925,91,2725,136,646,-1587,-2521
13,2.211930660360212,-25,-5561,-2423,6951,3325,-2835,1560,3507,-6650,-7869,-4415,240,-2669,-95,-26,-158,2415
14,2.2819930335344014,-42,1869,-3853,1408,7108,2615,-386,-2914,-1762,-1594,3809,28,-2795,-46,5546,5219,5987
15,2.3524077926909843,0,1647,3012,-6196,-6880,-5110,5844,7472,-96,-4072,-7551,42,-3171,-3,-6375,4764,7347
16,2.425958530499135,121,-1717,6213,6209,8005,5029,1741,-1909,7408,2025,7691,113,7548,-46,-2435,3413,4303
17,2.491110593175943,-46,-5984,-2900,-3245,5798,-2355,-108,2823,3765,-7771,631,238,-6385,137,6655,-156,6031
18,2.560649519211237,-68,-7158,2822,139,-6062,5293,6646,769,-4315,7593,8085,238,3594,28,-764,6571,3580
19,2.6354310420404174,-55,-3553,3045,-2224,-210,-7909,5020,-6318,4594,-4624,-6851,236,-5177,79,3340,692,-4921
20,2.7108275297272217,4,5489,-6731,1480,4936,7762,-6326,-3047,6442,7267,-4262,81,-7708,58,877,-2026,3604
21,2.7773185736065464,147,3700,5343,7745,5006,527,8018,5713,-3799,-5227,7384,246,-5901,24,4700,-537,-4857
22,2.8496522112861875,40,3254,4053,-5353,-3988,7164,-5149,5421,-4660,4761,589,18,5729,141,-7884,-6742,6377
23,2.91777560625143,43,180,4369,5121,-4612,-3826,-6699,-2209,-6362,-3458,-527,245,7226,-84,6676,4250,6469
