Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.04182830164069032,14,-5087,-7008,-3464,-5318,-6922,919,1899,113,-6782,-6646,61,3040,92,-6929,-3359,3619
2,0.34188795921902027,61,319,7286,3191,-4952,-3172,-4148,802,2535,-6047,6842,52,-4760,-31,-4507,-806,-6773
3,0.48365360971114185,-1,6646,-3548,-2334,-3038,-5161,3968,6775,-2746,113,-5558,28,451,76,6343,-891,-8001
4,0.5595474577104748,-21,4870,6839,7223,6103,3174,-7393,4580,-2176,1576,2354,40,7326,22,1701,131,2889
5,0.6359343894934237,-52,5816,-8113,22,-8126,7079,3242,2645,7138,-7081,-1453,239,6992,74,-5905,-8126,3604
6,0.7042391092845581,132,7149,1476,7475,-4687,-4242,5486,6799,7856,-99,-706,101,-5425,128,2927,-4169,6863
7,0.7825436366318913,16,-7310,2159,6345,-5691,2436,-688,-2483,1889,1759,7359,251,2130,81,-7544,-5603,-6027
8,0.8544940973209685,17,-6510,1648,7725,-1710,-4673,1135,-449,2687,8102,-2259,113,1417,-53,-2683,3254,-1813
9,0.93137625115199,-18,1957,-2463,3340,-3622,-5096,5845,-4900,-1284,383,-1332,105,7156,-50,509,-1776,-2303
10,1.00151389123504,-34,3172,1884,1793,-1293,-1927,-2320,2550,5778,738,-421,250,-5183,39,-6887,-5565,-7533
11,1.0765374656006705,92,8041,8099,-6588,-6444,-7111,-6954,-4354,-5841,-3377,-1469,25,-6588,115,6050,-8024,4586
12,1.1419200331858643,61,-5452,2887,1941,1560,-553,7736,5092,2812,-6712,-7816,243,-475,-94,-6246,2132,2188
13,1.2189642674626713,84,2083,5013,5768,-1861,4686,601,5061,2183,923,-4245,40,-476,121,-3053,-5070,2780
14,1.2861570897365444,57,2753,-4193,-2803,190,430,-6991,4340,4382,-5266,-2737,119,-5911,62,-4376,-4617,-7448
15,1.3637683917471546,7,4843,-7936,-3861,-5692,5483,1037,191,-5939,3459,2404,84,5743,102,187,4764,5421
16,1.440986680750702,-74,901,-4805,-2213,1392,7433,4361,-3700,5723,343,6149,241,-5096,15,1747,-7663,-5930
17,1.5159148885215825,51,6937,1124,581,-7834,-7255,-455,-5329,-1220,-6388,1882,99,-676,-76,-4685,-2636,-6375
18,1.583306569389889,-86,-2968,-1137,5583,7480,-3541,-3574,-765,4259,7820,-7977,56,-5459,-73,7213,7761,3294
19,1.651122909579211,14,5905,5232,2069,1973,-2466,6765,4490,7837,7253,4868,238,4375,6,3645,7443,3142
20,1.7255687248887568,18,-7536,5003,-5978,-3961,7364,-1899,-1778,-2311,-1034,-2821,112,-6583,56,5868,3432,2333
21,1.7939080845640827,-101,1063,7369,-8140,7125,3953,1201,-4044,2581,-6439,4502,47,4694,-39,1589,-3976,2807
22,1.8707436242299575,-93,-885,-320,1476,123,4679,-28,6624,3415,935,2626,88,1402,-4,1605,7620,7553
23,1.9403727850253063,0,-4550,-5197,-4719,-2162,-6316,7505,-1126,-6241,-2413,5493,43,-3787,92,6431,-5313,-3608
24,2.013159734769677,143,-290,2669,-3742,-3392,1376,6659,3954,-364,-5552,1467,35,2099,-87,-182,-6395,7873
25,2.086612112412839,-5,-1220,-6494,31,3707,4968,3113,-1481,584,-1203,-2471,40,4387,56,-7627,-2968,798
26,2.152797812127808,-104,320,-5217,2273,-4106,-4258,-7943,-5639,-1991,5520,-4568,97,-622,-41,6524,7717,-7184
27,2.227016971404989,-104,5177,-3075,7742,-5047,2791,4444,3659,-5093,-6784,1640,42,2944,-86,633,2070,470
28,2.29782987540333,57,5960,875,706,1326,5877,-2933,-6961,-6150,2510,-1791,22,3036,99,-7411,355,7100
29,2.371586741905065,-29,-6778,2323,983,508,4729,-7834,-2553,-6998,2823,-6843,16,-5947,-24,-7197,-5123,-1403
30,2.438137657189166,16,-1927,-6231,1596,-2089,-6428,940,-5323,659,-5930,-2438,115,1924,30,-6104,6309,-2207
31,2.5170041204356073,24,5673,5032,-6647,6639,-5345,1056,-5314,-7348,-4806,-2624,27,3546,-93,-4236,6230,-783
32,2.589251799884106,146,-3231,6531,7196,6141,1044,121,-1324,-2909,-1034,1185,104,5193,-104,2596,-5485,-7052
33,2.6612561448374814,-75,-64,72,-6488,-1911,-3205,-5803,-7677,8053,-578,7237,228,-6499,-3,109,-2660,-3799
34,2.731918087365209,125,2409,-7291,315,-6608,2530,4886,559,8017,-4884,5952,241,1157,35,-2793,-219,6278
35,2.809511855607278,-96,-1864,-2752,-3386,-827,858,3735,-3165,-403,-845,-5074,104,-7986,111,-1800,-478,5574
36,2.88656806416504,25,-7758,619,3214,-92,-2992,-4853,743,4257,1172,-7249,63,-4386,86,953,-1994,7987
37,2.955057957658087,44,7024,-2220,-3091,4243,-3394,2950,1827,328,-8160,-7129,113,-2441,-30,2369,1328,6976
38,3.0302196639075927,-45,4349,-4568,7547,-2239,386,-8076,-5506,-3927,999,-3030,118,3839,114,-2698,4374,6339
39,3.097520682362953,58,1665,3463,1040,-2271,5118,-7743,-4636,925,4189,-4572,46,-7415,51,-5107,-1264,-3398
40,3.1701724937936873,-1,-7946,-8171,-2679,126,-4608,6080,-7846,-768,5401,1677,226,1866,-95,1053,4732,-5007
41,3.2392435675659494,-87,-4549,5281,1741,-3007,-7682,2729,-1721,1904,-2375,-5078,126,3834,146,-8167,6,-3488
42,3.3135217429421235,-84,5812,-694,2458,7170,3971,-2339,3352,5276,5230,6222,33,254,148,-7101,-776,5046
43,3.3806585426872426,61,1810,7751,8027,-4251,2884,-1706,-4823,3152,3323,-4428,84,8054,-25,3326,-527,-639
44,3.4479779502169268,129,3917,1275,4373,5320,2138,-1631,-5536,4559,-6114,2693,42,-5416,39,5413,-2108,1563
45,3.517834622350423,130,-6433,1562,-2461,7804,-6807,-1388,1637,-6076,5564,5656,249,-6344,92,5734,8116,-1343
46,3.5978514718743386,44,-4105,5553,-3356,-4923,-6082,898,6980,350,3536,-3409,40,-7265,-84,-2320,2432,-933
47,3.6640825027957806,75,-2696,-4459,5501,-5621,7421,7225,7266,-7661,-4721,-397,100,-3336,129,-3769,-5566,7537
48,3.738361105824846,-13,-1225,-6548,-2440,-129,2319,4628,-6825,4705,-6081,-231,236,-7307,-106,-2209,-4401,-772
49,3.807078938308932,124,1098,-167,7741,3453,-130,3040,-6206,-1909,-1162,-491,20,-2827,-24,-3579,6280,2977
50,3.883285828224663,64,1851,-2581,-5609,-4541,-3484,7983,6434,5567,7741,9,81,7997,91,-3818,-4220,-5644
51,3.9492769458741117,-48,-5468,-1612,-2842,8029,-7831,-5250,-3711,-3925,2571,4996,88,2421,-59,7505,3866,3405
52,4.023903230703767,61,347,3967,1408,2635,-4700,-6806,-2414,-435,4280,1256,33,6120,141,-8133,-804,4362
53,4.090846303689148,110,-8190,5802,4770,-5220,-7543,5052,133,975,-6452,-7598,235,7166,118,-6489,824,-586
54,4.163776089499197,8,6133,-5607,-421,-1070,8049,3970,-5821,-6287,-570,-485,224,2899,-38,-6248,-5100,2616
55,4.232823214709549,113,-4879,1188,1090,-7389,-702,3887,-283,-2950,-1847,-2951,44,1921,34,6413,7534,-190
56,4.306742589309961,-20,2610,-5941,3092,2299,791,-3175,-6807,7892,-7838,-4897,97,5597,23,-4576,509,784
57,4.374851871729792,-15,-1653,-3462,7395,7134,56,-4074,-4761,3679,8147,5421,242,-3528,12,8175,135,1260
58,4.4506430830352235,-35,-5022,5429,7052,-5298,-424,4431,469,-5297,-317,114,53,6472,105,4538,-1406,7652
59,4.525439573715598,36,4286,-4672,-1628,791,-6113,4425,5092,-4490,5559,6611,63,-3147,31,3025,-3713,-6823
60,4.592872736914356,-56,3853,492,-120,4940,-3628,2468,-5020,-6231,7860,-7244,84,1236,116,5511,-2699,-2657
61,4.657659156369141,90,12,5946,-1908,-437,-4674,-4121,-5047,4956,7709,-7505,110,-1865,67,4501,3789,4642
62,4.727866076220574,107,-6848,6601,2032,-785,4102,5714,5089,-131,-7227,-1165,250,-5925,-91,-6567,1229,426
63,4.796534300969276,-27,7207,2405,4012,-4506,4028,-1824,4747,-5994,-918,4930,229,2538,-28,-1201,309,702
64,4.864350213505706,-7,-1738,-7190,-6941,-7251,3923,6066,2639,-3898,6882,3935,116,1300,4,-2783,295,-2692
65,4.9379073661072255,-99,-6779,-2083,-738,-3362,4853,-5231,-1466,5501,-4988,-6290,43,5823,122,-1135,-2273,-2135
66,5.005888352659681,71,1355,2567,-3658,-5677,4206,774,5938,-6221,-6599,-3468,46,-1898,134,-3065,-297,-7485
67,5.084691523278216,42,-2836,4001,7766,-4077,-3011,-7382,-2745,-7440,2222,-3853,88,4326,89,-999,-7031,-47
68,5.15631012532368,49,4033,521,2500,3472,-3683,8133,6027,4627,1966,-6570,246,-6862,-10,539,4601,-6933
69,5.231840896018338,-31,6069,4547,-4627,-2080,6426,7001,-3951,3513,807,-821,99,4688,50,7010,6859,-4450
70,5.307436242299575,-43,-4404,7847,-4883,5695,-5482,4770,5485,403,-7456,-7232,89,3726,78,7324,-7593,4012
71,5.382888752515133,60,7389,-612,-7488,-2940,268,-2922,3082,3325,-229,7229,49,-2135,129,4394,-6837,-8084
72,5.458991295125399,11,-2549,-1599,3308,3367,3945,-459,-8100,1863,5552,7764,46,-7787,-89,192,-1487,4369
73,5.530094575436901,62,3045,651,2895,5534,2664,-2975,-1189,706,-200,-7445,20,2954,-8,-2045,-3586,-7893
74,5.599519745803121,38,-4981,-1202,-2181,-5785,-456,-801,6824,3058,2663,5238,126,-7083,112,-4008,1670,4883
75,5.669013768284834,92,-2885,-1496,-1026,-5703,-3101,5335,7577,4516,7410,2598,125,-6701,-6,-5802,-6793,7700
76,5.746055008991402,22,-776,-1243,7191,6924,1470,7293,-5460,-253,-2411,-568,248,2220,-24,-2187,-6350,-2247
77,5.819949579724121,-42,1809,-1864,-7693,-2329,4828,-5760,6140,3977,2112,7023,82,3317,8,-21,-2718,2884
78,5.8884330584238,147,-2638,4994,-4417,5151,7649,4353,6358,80,1022,-3627,229,-2056,-85,4389,-6035,5067
79,5.96227331723933,-62,4063,-4604,-7817,5769,-3885,-275,-251,308,7585,-4069,251,-6929,-11,-7157,-6851,4539
80,6.0344187876468185,53,-7734,5296,-273,7288,3286,-621,-56,8123,-6451,-5127,32,2659,-19,-7756,8070,-971
81,6.1111854751972015,9,-120,3646,-1121,-2847,-7212,4069,6663,-2491,4953,-3137,126,729,28,4027,-5413,-4987
82,6.185244264640162,79,6868,-5616,3243,1848,3124,-3532,-1808,-676,5407,6875,22,-6264,149,842,-5564,4013
83,6.260964485565646,90,-5086,700,-787,5108,-6648,-4641,5783,4724,-5757,-628,82,372,-53,7779,5636,6302
84,6.330987942326731,133,5066,-908,-1239,-6582,2608,-4944,-216,-5745,-6990,-943,21,-1954,23,7756,-7455,6547
85,6.398934716647886,49,-6390,2626,6814,-5767,-7713,-4621,-7430,-6447,-6503,-2966,42,4115,140,5642,3455,-263
86,6.47218652508505,148,-5300,-206,-3501,445,-7129,1714,7888,4084,648,-7031,25,-1308,75,-2377,6403,6097
87,6.541200293369883,109,6120,-7561,7662,3616,1153,7484,5361,1632,1736,-4152,36,6176,128,6780,-4617,7650
