Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.040035580720552355,145,784,3135,5179,-3617,4338,-2282,5029,-4440,-7385,7887,227,4536,124,7859,-1794,-8091
2,0.30452221549856845,118,8086,-2454,-759,-2479,-2462,-5549,-5340,-4268,-3504,-1799,249,5625,-42,-1910,5402,-6145
3,0.5659665276082015,84,-1565,6882,4623,3688,4286,-2504,-3493,-3302,1933,4767,235,7444,-90,-4249,75,1303
4,0.6506524913988312,70,-1290,-2282,-3965,4484,-7703,5862,5984,-1924,2756,-5585,24,-4713,-60,6427,6828,-2528
5,0.7302301414034285,100,-7137,-2727,-2207,-60,1226,2436,-3674,-3558,-1613,-3387,49,6763,22,4255,-5182,-4263
6,0.7983330090298908,108,168,2789,-7265,3707,-1197,5570,3013,4777,-5056,-1929,91,3567,-84,6310,6198,4832
7,0.8728763291986427,-82,-1456,-4909,40,-5226,7930,653,5658,3421,-6880,-5906,20,-6606,25,-3711,4488,-1481
8,0.949492482931304,40,-8018,-1075,6706,5670,7715,2984,-1739,3784,-2668,175,228,2128,70,-5295,1622,-1827
9,1.016054089537686,-38,-3461,-3351,-5899,3731,6879,369,960,4192,-6045,-7074,17,5675,-74,8170,7921,-7585
10,1.0917199985459802,-48,-3411,-3515,1450,5795,411,5753,-1362,3846,-3599,5611,248,-1671,112,3227,-6067,2615
11,1.1582234443591515,-50,-3347,6364,2401,-555,-5889,-3931,1892,-3905,998,3942,252,-1190,-22,6227,956,-3932
12,1.2346728134642235,114,-5772,8149,2313,3990,6737,-4246,-1769,3029,7576,2280,124,6780,-74,-3719,-7088,4536
13,1.3014298574419088,134,-7363,-396,-4813,4381,-275,3163,-3577,-845,-6011,25,48,-6457,97,-4420,-6417,3026
14,1.3664549072100138,42,-2443,4059,-197,-973,-1558,7746,-6497,7136,-3634,5570,108,-6029,10,-5155,-2477,-4965
15,1.437769448049796,4,-5678,1203,-6166,-3971,-7330,-1325,1245,3539,-3641,6314,28,-4197,-52,-2719,4988,2641
16,1.5040761735329902,-103,-6603,-1386,-4462,-5353,-6424,2633,2633,4876,-5110,-5064,88,4957,-34,6892,2919,4887
17,1.5797467867230883,55,2812,2445,5848,-1701,8149,-6524,103,-4627,2548,5467,45,-2899,49,587,-7959,7721
18,1.650441658523443,-82,-5704,-7724,797,2599,-359,165,1565,1948,-6056,5555,109,-4270,-52,-5922,5209,-6465
19,1.716482383908277,-66,-5614,-2420,302,-526,5399,5084,-4670,5013,-1983,-172,254,-5778,139,2017,2652,6026
20,1.7850415571697076,92,-1013,-2116,-4503,-2842,4235,3875,-3260,-2985,5715,-257,97,4320,-49,4900,-4597,5653
21,1.8525067943353097,84,-6614,8123,7466,-758,-5923,-2997,8137,-7507,-4666,3691,114,-8170,-100,6957,5754,-4572
22,1.930353733089001,62,6236,-4345,5726,1849,-6886,3093,-5304,7341,7716,-2039,111,-5437,-54,4165,3688,-6947
23,1.9977022210152908,54,-5454,-6714,2927,-7512,-6003,625,1435,6376,-6536,-2431,22,5987,134,172,5326,-5082
24,2.0742807412935216,-43,-6688,-1101,-3279,3156,7542,-4165,3419,-4398,-7535,-357,245,6473,99,4287,215,6709
25,2.146619938460749,4,-3593,-3195,1770,4913,443,1465,1401,7788,4458,5010,83,-5644,113,273,2465,-7637
26,2.212219326061809,-20,-4613,-2289,-3116,4485,-6715,-2730,2565,4425,5265,-1772,109,910,117,7176,-3822,-739
27,2.2791688138405584,101,38,-2937,-742,-743,-779,4049,-6890,-6561,5324,-5824,27,2338,44,1299,3347,2878
28,2.351965171948536,-56,-7563,4408,-6580,-4271,-6272,633,7879,-3193,-5425,3974,246,8176,90,-6647,1120,-6076
29,2.420112515475689,-21,-4639,-880,8134,-7928,-1039,-2362,-4833,-3699,2152,3735,121,2520,85,4476,-6436,-1202
30,2.4967710068445843,8,-6729,-4611,-2741,4449,-550,-7778,3766,4755,-4721,6972,27,-1079,7,8024,-6621,-6041
31,2.5647690995126897,-29,-8051,1513,975,226,5186,2222,8007,-2540,-1960,-8183,62,2315,-97,-5314,-564,-1939
32,2.631984159736908,55,6370,-6477,1917,-2293,6588,2673,1231,961,-312,2632,61,2977,3,2551,4846,549
33,2.7000438344213538,61,4607,7820,6758,393,-543,6721,-4940,-11,-7198,-4537,242,4323,8,-5697,-6845,717
34,2.7671015183815904,84,-1575,1214,5806,-4445,662,8047,-3315,7746,-27,-5758,252,331,-103,1170,-5193,7721
35,2.840929375263274,-72,-4615,-2166,5258,5591,4751,-5831,5129,-7452,4869,-2113,54,4546,131,-1017,-571,5464
36,2.9113514045190083,-28,3178,798,-6418,-3407,-804,-3140,3643,5681,4112,5868,243,-4067,-54,-4725,2839,-5436
37,2.987991934466471,-31,4569,-460,-2355,-7388,5751,-7833,1486,-6104,2191,3110,55,-3979,-78,-2703,-3520,1730
38,3.057540696518264,99,3396,444,-7552,5780,4308,2858,-7573,5386,3009,4474,103,-1499,55,950,3600,-1655
39,3.1410625891388997,8,2803,4936,-2982,-2476,6088,-6698,-4290,-7577,-5142,5086,242,-2722,-74,184,4404,-4678
40,3.214044120948791,116,-2832,-6387,-6112,-5840,-2903,4543,7047,-3908,-5594,4454,224,4363,-20,7999,-7144,2006
41,3.286838768445204,77,-2863,-5213,-2598,3079,2822,5422,-2509,-7942,-3635,3693,59,864,140,3828,110,2848
42,3.367975213238423,150,-1506,-5502,-7636,-539,6960,7069,6998,190,867,4769,62,3179,12,718,1691,-269
43,3.4454513769353965,-7,4335,8143,5901,6544,-503,5931,679,3287,-4925,-4682,81,-1568,-77,3004,4253,7839
44,3.524275930198495,-45,5282,5583,-4110,4117,4833,-3399,4798,2051,1609,-4871,19,-570,-75,1186,936,123
