Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.021914282708487824,56,-7470,7788,6284,-561,3274,627,-3580,2223,4642,-470,24,-7209,11,-4273,-321,3256
2,0.045676031437713455,56,-7470,7788,6284,-561,3274,627,-3580,2223,4642,-470,24,-7209,11,-4273,-321,3256
3,0.07019301743374995,150,5444,5644,-1474,-4773,-3214,2854,3580,323,4372,-2210,24,-4548,-87,7579,-1978,6803
4,0.09323031999651034,54,-2950,5658,-3940,-4542,-2080,-4965,-1199,6999,-6595,-4379,27,7796,97,1689,-8119,2055
5,0.11376883923538855,51,-2111,7247,6982,-3935,5816,1287,7582,6554,-649,3272,112,6839,131,-4110,-4708,7093
6,0.1324894005913602,-5,-3642,1971,-6281,-7710,-6123,2215,7165,-515,815,-7414,34,-3497,97,-7413,-6205,-7535
7,0.15038715532142916,-5,-3642,1971,-6281,-7710,-6123,2215,7165,-515,815,-7414,34,-3497,97,-7413,-6205,-7535
8,0.16856416822546613,-5,-3642,1971,-6281,-7710,-6123,2215,7165,-515,815,-7414,34,-3497,97,-7413,-6205,-7535
9,0.18727745946052282,-5,-3642,1971,-6281,-7710,-6123,2215,7165,-515,815,-7414,34,-3497,97,-7413,-6205,-7535
10,0.20660400677746332,-22,-6310,7817,3309,-1697,-6565,-1689,-3760,-6649,-3018,2754,34,4970,-81,-7498,-2751,-7266
11,0.2291747386391531,42,-1283,6459,6445,-4177,-4264,6129,5817,-3971,-2890,-5636,47,5070,-46,-2631,1636,-4868
12,0.2471567412410011,113,3927,-2090,-859,-6532,-1048,6031,7338,-6230,7676,-3414,47,-7804,137,-160,-623,-5644
13,0.2690919790038908,118,6659,6243,6430,-181,8109,5723,7211,2932,5919,7698,47,4169,-102,-2725,-3542,-922
14,0.2891288598996381,118,6659,6243,6430,-181,8109,5723,7211,2932,5919,7698,47,4169,-102,-2725,-3542,-922
15,0.310392252959153,118,6659,6243,6430,-181,8109,5723,7211,2932,5919,7698,47,4169,-102,-2725,-3542,-922
16,0.33081017372167754,118,6659,6243,6430,-181,8109,5723,7211,2932,5919,7698,47,4169,-102,-2725,-3542,-922
17,0.35001270132889256,118,6659,6243,6430,-181,8109,5723,7211,2932,5919,7698,47,4169,-102,-2725,-3542,-922
18,0.37192185218732277,-48,1583,7469,5628,6661,5914,6398,6119,-7616,5091,-4179,104,8134,-103,-1386,-2423,3163
19,0.39418937724144243,18,-2655,4246,4636,5128,-1033,-4951,-2261,7856,-701,-559,87,1629,88,-5022,3902,5048
20,0.4178792800698616,126,7853,-1651,4637,-5542,7380,8064,2321,-3048,-4046,3276,82,7335,146,3487,1326,-4262
21,0.4374714006272831,116,1794,6509,-1013,-4381,6873,8031,-6203,4950,-6490,-4095,106,-6278,149,7322,4880,-703
22,0.4572739270370665,16,700,380,1635,-5254,7365,1946,-112,-6386,-7880,1162,106,3053,91,-6053,-4639,-7141
23,0.47689341746146197,62,7683,3690,-4210,-5864,-925,5520,-3936,7754,4653,2362,226,-3944,-57,-6404,-219,-2961
24,0.49710264298831053,102,4851,-7891,3648,5433,-2218,-5818,3579,1599,2626,7767,20,-4671,28,-163,-8076,5947
25,0.516999680969988,46,-4159,221,4982,-1318,-2280,-6573,-5679,-3777,8172,-1164,228,-7314,59,-3667,-5741,-7388
26,0.5351027097023613,46,-4159,221,4982,-1318,-2280,-6573,-5679,-3777,8172,-1164,228,-7314,59,-3667,-5741,-7388
27,0.5528862807686485,46,-4159,221,4982,-1318,-2280,-6573,-5679,-3777,8172,-1164,228,-7314,59,-3667,-5741,-7388
28,0.5706561669014488,134,-7590,116,7058,-197,-7019,6644,878,-7763,7566,7056,228,-2991,-43,3283,-5313,-6976
29,0.589401959853537,-92,-3034,-7117,5003,6149,1489,2406,-2006,4898,769,7337,228,3297,-43,6521,-871,-3939
30,0.6100375565893382,-92,-3034,-7117,5003,6149,1489,2406,-2006,4898,769,7337,228,3297,-43,6521,-871,-3939
31,0.6281615403761133,-92,-3034,-7117,5003,6149,1489,2406,-2006,4898,769,7337,228,3297,-43,6521,-871,-3939
32,0.6475565123604885,115,-1991,3016,-2669,6209,-7862,-7002,7157,529,2568,5526,230,-1110,-80,-7325,3101,3481
33,0.673444129976077,2,3673,-5439,6356,-4599,7330,-7390,-3542,-7484,7162,3150,241,7864,-45,4023,-2779,473
34,0.6913183637267153,2,3673,-5439,6356,-4599,7330,-7390,-3542,-7484,7162,3150,241,7864,-45,4023,-2779,473
35,0.7093764887710844,-73,-7656,5579,5750,-497,-3204,7632,3864,-6872,-233,7284,247,1727,130,6758,-5686,2524
36,0.7272340440090355,-77,3840,-2401,-5528,-6506,-7333,5627,1140,-3985,3501,-4744,247,7454,62,3873,-8119,2107
37,0.7462402783515472,78,7841,1716,4594,-2666,-1628,4314,-6600,-449,6135,3011,109,428,-13,-3067,-7505,-513
38,0.7668185694283718,141,-1158,-7941,-2628,2019,-2305,-5398,-5475,-6186,-98,6447,31,-3443,-13,-5877,1444,2983
39,0.7856960798652718,134,-1036,-7754,4940,-1047,4903,4417,6306,4993,3557,-1882,19,-6727,-97,-1657,-5869,2223
40,0.8057633242071933,134,-1036,-7754,4940,-1047,4903,4417,6306,4993,3557,-1882,19,-6727,-97,-1657,-5869,2223
41,0.8235229466398785,-73,885,-7231,-3828,-2352,-3309,-4487,709,3559,4215,6285,101,-3522,142,-1685,6691,197
42,0.840295115590646,54,-2924,5205,-3671,7512,1121,3892,-6891,-1994,3258,-7423,32,6473,30,-1171,35,3618
43,0.8584926558949134,54,-2924,5205,-3671,7512,1121,3892,-6891,-1994,3258,-7423,32,6473,30,-1171,35,3618
44,0.8763459345911497,-40,812,-1395,-7538,2441,5068,-1493,-650,-1009,8047,-4631,237,-8005,146,497,-1163,-1629
45,0.8939297911593619,-40,812,-1395,-7538,2441,5068,-1493,-650,-1009,8047,-4631,237,-8005,146,497,-1163,-1629
46,0.9113190650795565,-40,812,-1395,-7538,2441,5068,-1493,-650,-1009,8047,-4631,237,-8005,146,497,-1163,-1629
47,0.9290183882740647,100,-5507,1081,3923,4446,1356,-3283,5771,3832,7666,-6052,47,2387,-64,-897,-2764,-5219
48,0.9484886273926182,118,-2254,-416,1097,4534,7645,38,-3208,7863,-3591,-4950,117,4264,59,4717,2337,-3204
49,0.964647540261502,-88,3859,-6376,3053,5981,3779,-378,-6331,6453,2310,-691,117,-277,111,-525,1804,5777
50,0.9792463707128738,122,-5100,-8185,3813,5556,2027,7610,-3628,4963,-7056,476,19,7412,-99,4790,-6051,-7235
51,0.9944614508253298,122,-5100,-8185,3813,5556,2027,7610,-3628,4963,-7056,476,19,7412,-99,4790,-6051,-7235
52,1.0137131586622636,122,-5100,-8185,3813,5556,2027,7610,-3628,4963,-7056,476,19,7412,-99,4790,-6051,-7235
53,1.0387788249602923,59,-6855,-776,-4587,3411,-1378,-8168,-7926,7764,-101,-6363,126,-683,5,7265,-9,6349
54,1.0736086913012575,59,-6855,-776,-4587,3411,-1378,-8168,-7926,7764,-101,-6363,126,-683,5,7265,-9,6349
55,1.1037878185275183,59,-6855,-776,-4587,3411,-1378,-8168,-7926,7764,-101,-6363,126,-683,5,7265,-9,6349
56,1.12619005464565,-7,-4033,3615,5574,-5919,7278,2320,-1702,-1358,6837,-7210,33,-816,28,5362,-4669,-780
57,1.1453587975733193,85,-5445,-6696,-5677,-2484,-3199,786,-3963,6403,-898,-5098,252,3780,101,-6530,-5889,506
58,1.1631094392684034,85,-5445,-6696,-5677,-2484,-3199,786,-3963,6403,-898,-5098,252,3780,101,-6530,-5889,506
59,1.1783937993566371,85,-5445,-6696,-5677,-2484,-3199,786,-3963,6403,-898,-5098,252,3780,101,-6530,-5889,506
60,1.193979655635755,-94,-5767,1286,-4951,-6789,2535,278,3307,-803,959,4013,82,7114,28,42,-3682,-4869
61,1.2109220309467665,99,2997,-1943,5206,-5443,6391,6036,7599,-4654,-8006,599,82,2623,64,931,2267,-2591
62,1.2333045949730108,99,2997,-1943,5206,-5443,6391,6036,7599,-4654,-8006,599,82,2623,64,931,2267,-2591
63,1.2488742003936129,7,-7097,6119,3909,5369,-3069,-4090,-1730,-2533,-7545,-1403,82,6470,135,6715,-643,-2628
64,1.265100254967417,-87,-2923,689,1900,311,1575,3187,6504,-6461,4999,3173,26,4633,-85,5408,-3108,-464
65,1.2831904540746462,-66,1354,-3992,2206,4442,-6988,2220,3636,-5591,5440,4713,54,-934,96,-3360,1965,-3693
66,1.3051663189838252,-66,1354,-3992,2206,4442,-6988,2220,3636,-5591,5440,4713,54,-934,96,-3360,1965,-3693
67,1.3241883765306812,-66,1354,-3992,2206,4442,-6988,2220,3636,-5591,5440,4713,54,-934,96,-3360,1965,-3693
68,1.3410610442117437,-66,1354,-3992,2206,4442,-6988,2220,3636,-5591,5440,4713,54,-934,96,-3360,1965,-3693
69,1.357237918555829,-66,1354,-3992,2206,4442,-6988,2220,3636,-5591,5440,4713,54,-934,96,-3360,1965,-3693
70,1.3742966158014795,94,-6291,6661,977,-2174,7968,-6542,5662,-3241,-5984,73,24,83,13,1579,184,-1941
71,1.3908878870377166,73,-4654,7632,6150,4210,6295,7290,5578,-1121,8190,929,108,7043,105,-1970,-7204,6486
72,1.406726914586343,56,-226,3895,1224,-6693,-6449,-3715,1897,4162,-2681,7300,108,-1904,-8,3104,2162,-1213
73,1.4248534642981467,56,-226,3895,1224,-6693,-6449,-3715,1897,4162,-2681,7300,108,-1904,-8,3104,2162,-1213
74,1.4432430213254028,-23,-3909,6797,-7602,-1652,4571,-6024,-5588,4561,3741,-5173,238,697,-18,8146,5071,3671
75,1.4613883878207514,144,5440,-6705,-3002,1328,2488,3543,2061,6798,2839,-6889,238,3846,-81,249,1999,-3369
76,1.4796757355010268,-40,-2795,-6954,-7174,5005,-2320,369,-5256,-6121,-706,-5738,242,-1892,-47,-5351,-2271,-3729
77,1.4969448385990392,-40,-2795,-6954,-7174,5005,-2320,369,-5256,-6121,-706,-5738,242,-1892,-47,-5351,-2271,-3729
78,1.5238660963470636,-40,-2795,-6954,-7174,5005,-2320,369,-5256,-6121,-706,-5738,242,-1892,-47,-5351,-2271,-3729
79,1.5427235070379046,-40,-2795,-6954,-7174,5005,-2320,369,-5256,-6121,-706,-5738,242,-1892,-47,-5351,-2271,-3729
80,1.5606721526143783,-40,-2795,-6954,-7174,5005,-2320,369,-5256,-6121,-706,-5738,242,-1892,-47,-5351,-2271,-3729
81,1.5766822418315916,24,-8051,-6664,-7612,2561,2362,-4033,924,-5814,-7492,7348,61,-597,99,-4521,7026,1380
82,1.5926786461153177,-8,-7759,1269,-6159,-4276,5659,4700,-6098,-5549,-7505,-8105,227,6747,-34,237,7239,-2095
83,1.609229717859437,7,31,-6432,-5108,8166,5911,2029,2428,216,-6715,7993,236,-4722,15,-7401,-1265,1477
84,1.634292818232437,74,-2109,-6809,-2687,6967,10,-51,-1179,7473,4672,46,236,2971,107,-1934,-3014,-6967
85,1.6542197920061172,74,-2109,-6809,-2687,6967,10,-51,-1179,7473,4672,46,236,2971,107,-1934,-3014,-6967
86,1.6774512495627236,126,-7421,7550,6068,6324,4286,6985,-1069,-3926,802,617,253,-5671,127,-8087,-1190,2302
87,1.6965438700478717,126,-7421,7550,6068,6324,4286,6985,-1069,-3926,802,617,253,-5671,127,-8087,-1190,2302
88,1.717586165900738,-53,-6654,6766,489,7585,2983,-2869,-919,-4442,-852,2295,88,-4651,-38,6422,5158,-3467
89,1.7396924653322146,-53,-6654,6766,489,7585,2983,-2869,-919,-4442,-852,2295,88,-4651,-38,6422,5158,-3467
90,1.761156855852319,142,6,-2250,6283,-1091,-1426,7876,7834,-6198,4967,-4764,99,-3290,-92,5227,6108,-1679
91,1.7838464755736767,28,5391,-2011,-4121,364,-410,-6056,2082,6268,4923,3174,99,561,129,5884,7341,2642
92,1.8031567720321013,28,5391,-2011,-4121,364,-410,-6056,2082,6268,4923,3174,99,561,129,5884,7341,2642
93,1.8235905159989703,28,5391,-2011,-4121,364,-410,-6056,2082,6268,4923,3174,99,561,129,5884,7341,2642
94,1.8426540560004585,-83,702,-4089,-4491,-853,6849,-2307,-2540,4849,-857,5397,99,4865,59,2621,-1950,6814
95,1.8623325627005163,-35,-7365,3199,-1580,3592,3204,-6547,-5340,2698,-503,-1930,234,-7077,-28,-1634,-5749,2657
96,1.879337375520562,-35,-7365,3199,-1580,3592,3204,-6547,-5340,2698,-503,-1930,234,-7077,-28,-1634,-5749,2657
97,1.8959175277483409,-35,-7365,3199,-1580,3592,3204,-6547,-5340,2698,-503,-1930,234,-7077,-28,-1634,-5749,2657
98,1.9127820700001454,-35,-7365,3199,-1580,3592,3204,-6547,-5340,2698,-503,-1930,234,-7077,-28,-1634,-5749,2657
99,1.9305977151292928,-35,-7365,3199,-1580,3592,3204,-6547,-5340,2698,-503,-1930,234,-7077,-28,-1634,-5749,2657
100,1.9487563389039566,13,5998,-2339,-524,-5664,-8010,5655,5367,-3722,-7363,2723,40,5225,-89,-1244,-3150,-3285
101,1.9689775387476063,13,5998,-2339,-524,-5664,-8010,5655,5367,-3722,-7363,2723,40,5225,-89,-1244,-3150,-3285
102,1.9855055171664662,125,4424,-8109,6166,-2848,-139,-5636,-4590,5539,-957,8056,40,-4499,-73,-4008,7154,-4400
103,2.004541259646809,86,1215,592,-5995,626,7493,-163,6024,-7784,-1384,4944,229,3928,82,-2274,1877,-6789
104,2.026050981509089,86,1215,592,-5995,626,7493,-163,6024,-7784,-1384,4944,229,3928,82,-2274,1877,-6789
105,2.042907825985807,138,6966,3074,-1254,-4679,2592,-7647,-672,-4029,2077,-7479,18,163,-99,-3451,-5244,2130
106,2.059327180245114,-48,2067,-5280,347,4900,6606,-3704,-2468,-4646,-1419,2703,40,-4180,-74,-3787,7873,-180
107,2.080366054864609,12,-739,4504,4396,1608,6369,2499,-5160,4072,2394,-2806,40,-5236,-30,-7860,-2646,-5527
108,2.098403224854576,-34,-7867,6249,-1590,1927,5819,-6194,-5406,7068,-4697,1859,40,1755,-27,-150,-5463,-1670
109,2.1171237862105476,-97,612,1005,2758,1688,7473,-1499,-235,669,5958,-7711,239,8120,89,2507,2084,5575
110,2.1385556750136208,-74,1590,-719,4283,-6979,-6968,2108,3805,-4971,-2659,675,99,-2787,126,1680,6391,6930
111,2.1550964830576245,93,-1271,5638,-1492,4031,1050,4282,5664,944,-5246,2387,117,-6642,84,7314,-4357,-5598
112,2.1795364913027973,-98,3441,3056,-300,-5353,-7598,-2727,-5679,563,-896,-6824,232,-7293,-83,8115,3622,3411
113,2.203436799983578,-84,91,2279,-2069,620,4371,-6602,4394,-2259,2837,-310,116,-2361,24,5226,288,-275
114,2.2708368080234766,-20,3797,-7551,-196,-3828,-2384,-3203,-1160,114,4594,1702,57,3656,59,-3036,7809,2749
115,2.3101377987271303,-20,3797,-7551,-196,-3828,-2384,-3203,-1160,114,4594,1702,57,3656,59,-3036,7809,2749
116,2.3395710970783523,-19,7996,6812,5579,-3333,-7587,-6781,-6019,2910,-6344,-5523,57,-7991,62,-4341,3566,4477
117,2.370014942236751,-68,-942,-6506,984,-41,-4201,-3285,-4605,5636,-5544,-663,248,3805,-6,1421,3617,6779
118,2.389391097437582,-68,-942,-6506,984,-41,-4201,-3285,-4605,5636,-5544,-663,248,3805,-6,1421,3617,6779
119,2.408544444815078,-68,-942,-6506,984,-41,-4201,-3285,-4605,5636,-5544,-663,248,3805,-6,1421,3617,6779
120,2.4303475374389842,-68,-942,-6506,984,-41,-4201,-3285,-4605,5636,-5544,-663,248,3805,-6,1421,3617,6779
121,2.449758332627704,79,-5483,2053,-3236,-4279,6667,1701,7994,-735,2032,5849,58,-6896,-86,-6917,-7907,-2907
122,2.4704914345146,-63,6761,4835,184,-272,3928,-5425,2227,7079,-5428,-4888,58,6989,-93,6157,869,8038
123,2.498028941923708,-63,6761,4835,184,-272,3928,-5425,2227,7079,-5428,-4888,58,6989,-93,6157,869,8038
124,2.520461113833843,-26,-3875,3605,-3937,-6329,6142,-2736,5233,3516,-6247,3002,253,-5749,-1,-740,4737,2090
125,2.5501116605041703,-26,-3875,3605,-3937,-6329,6142,-2736,5233,3516,-6247,3002,253,-5749,-1,-740,4737,2090
126,2.5759004900061497,-26,-3875,3605,-3937,-6329,6142,-2736,5233,3516,-6247,3002,253,-5749,-1,-740,4737,2090
127,2.592855694942305,86,7828,-1939,-442,4230,-8018,1305,2926,-5954,8071,3975,49,5582,64,7327,1842,1831
128,2.6093481780649332,39,-7793,1682,7899,-2525,-3046,3315,6462,5721,-4806,3142,49,2280,-63,3230,7707,-621
129,2.6323221878103165,-41,6909,2919,-5663,-3941,1913,422,-1257,3083,-58,5332,98,5145,-65,5267,-4217,-3694
130,2.6515016220922725,13,1720,-4572,-7118,-8166,7339,-6801,-2652,610,7934,-7136,248,-4213,14,-4266,690,-2295
131,2.670138790884808,9,-1927,675,6866,-76,5191,-4482,3854,-5219,3457,-8039,58,-4302,149,7767,2739,-2610
132,2.688630984913216,9,-1927,675,6866,-76,5191,-4482,3854,-5219,3457,-8039,58,-4302,149,7767,2739,-2610
133,2.706204577781313,9,-1927,675,6866,-76,5191,-4482,3854,-5219,3457,-8039,58,-4302,149,7767,2739,-2610
134,2.7298889211055033,141,-139,-3611,-6322,-1835,1818,7829,-7062,-5535,-1410,7313,58,-1576,-90,545,-109,-6978
135,2.7526615057361252,141,-139,-3611,-6322,-1835,1818,7829,-7062,-5535,-1410,7313,58,-1576,-90,545,-109,-6978
136,2.77423665868664,36,7034,-1355,-6766,-3680,-7654,7467,1963,-5368,-4579,-3367,19,-4696,-16,-4494,2360,-1453
137,2.793920297236755,36,7034,-1355,-6766,-3680,-7654,7467,1963,-5368,-4579,-3367,19,-4696,-16,-4494,2360,-1453
138,2.812226034046404,-16,-3414,-5870,3165,3228,6975,-5330,-7550,3672,-3461,5757,252,2416,26,-5410,-6618,-419
139,2.828085161341089,40,7126,-25,4815,3876,-4768,-431,-7016,2173,208,-5250,252,-7802,116,-6465,1664,1025
140,2.844382206507357,40,7126,-25,4815,3876,-4768,-431,-7016,2173,208,-5250,252,-7802,116,-6465,1664,1025
