Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.0179713112475613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.03540377823907408,-63,1345,-8003,3386,-3766,4452,-7713,5799,-3650,-4029,6039,230,-4117,-21,-4154,-5842,3351
3,0.05222897630710359,-9,3552,7970,-7038,-271,-8095,-2971,4760,1605,7295,-7854,87,-4496,93,553,-1843,-4767
4,0.06932659008235764,-37,2424,1009,3063,3753,-1039,-7806,-1726,5309,1799,2236,87,3188,-99,-7714,-2472,6234
5,0.08567196017000109,-37,2424,1009,3063,3753,-1039,-7806,-1726,5309,1799,2236,87,3188,-99,-7714,-2472,6234
6,0.10124626978648937,53,1043,-2455,-4815,2808,-7233,5387,-3990,-7491,7716,2443,88,5027,40,-6282,-5442,-3502
7,0.11766904527916837,25,5156,4571,2819,7589,1816,4975,-25,-44,849,1622,40,2524,24,-7423,-3907,3787
8,0.13469438549944449,-31,6473,-6436,279,-652,-2610,-5625,-3371,2083,-3430,1580,26,4909,-81,7793,-653,-2938
9,0.15131131598596953,-31,6473,-6436,279,-652,-2610,-5625,-3371,2083,-3430,1580,26,4909,-81,7793,-653,-2938
10,0.1666790686376392,-35,-2858,-4480,-7882,-3920,539,-3203,-863,1153,-4726,-6352,26,1134,-100,-1274,-2759,3385
11,0.18425479977659345,9,5476,-29,-1147,4828,2672,1670,5867,7844,2268,-15,82,8068,138,8011,5102,3029
12,0.20029183120660915,9,5476,-29,-1147,4828,2672,1670,5867,7844,2268,-15,82,8068,138,8011,5102,3029
13,0.21684076467987093,9,5476,-29,-1147,4828,2672,1670,5867,7844,2268,-15,82,8068,138,8011,5102,3029
14,0.2337194195193338,9,5476,-29,-1147,4828,2672,1670,5867,7844,2268,-15,82,8068,138,8011,5102,3029
15,0.25033506704334446,9,5476,-29,-1147,4828,2672,1670,5867,7844,2268,-15,82,8068,138,8011,5102,3029
16,0.26737794108465074,9,5476,-29,-1147,4828,2672,1670,5867,7844,2268,-15,82,8068,138,8011,5102,3029
17,0.28441611093007085,81,4611,6654,7354,4528,5008,-4203,5544,1011,-5301,1928,82,5946,-75,-4003,-4382,-3242
18,0.3009068834360131,81,4611,6654,7354,4528,5008,-4203,5544,1011,-5301,1928,82,5946,-75,-4003,-4382,-3242
19,0.31801989276143994,147,-4165,-5865,4754,-4571,6984,8177,-7594,4463,-7567,552,82,-6741,-46,-8146,-4634,2057
20,0.33443710874988986,147,-4165,-5865,4754,-4571,6984,8177,-7594,4463,-7567,552,82,-6741,-46,-8146,-4634,2057
21,0.35032488887406354,-16,-7151,-6192,78,7992,668,4915,1745,2509,-6273,-2575,52,-8055,-87,-7852,5189,-3537
22,0.3661040448386846,-16,-7151,-6192,78,7992,668,4915,1745,2509,-6273,-2575,52,-8055,-87,-7852,5189,-3537
23,0.38157700041653514,130,354,-5168,6468,574,-1399,8048,-1526,6210,-3181,-7083,123,2765,-30,4758,-480,-201
24,0.39677967855801854,130,354,-5168,6468,574,-1399,8048,-1526,6210,-3181,-7083,123,2765,-30,4758,-480,-201
25,0.4123753708830802,130,354,-5168,6468,574,-1399,8048,-1526,6210,-3181,-7083,123,2765,-30,4758,-480,-201
26,0.4284577336552714,-29,-6319,-4690,-4307,-4392,2899,-7361,-2235,505,5773,-1051,85,3333,-65,4682,7293,5741
27,0.44412612718948247,-45,6993,-2240,8045,7371,-3491,1680,-2715,228,7731,7328,85,4950,-59,4422,1323,-4281
28,0.4603124099253401,0,-6994,-6368,1628,-4028,-649,5764,-7527,-6088,6553,-2329,85,2001,20,5565,6683,-3433
29,0.47688956857391873,135,-6930,-768,-803,4720,6829,-302,919,-3176,-6103,-3979,85,-6673,31,-2441,8050,-1512
30,0.49465646112751877,24,-1784,717,5062,-6537,-6860,-6863,8029,-463,-6088,-1224,233,7834,41,-188,-1850,-7322
31,0.5113559288691369,24,-1784,717,5062,-6537,-6860,-6863,8029,-463,-6088,-1224,233,7834,41,-188,-1850,-7322
32,0.5278569650751944,-54,2162,3261,-942,-1495,-2024,-4556,-6865,6280,-384,7985,113,5715,73,-7859,-7032,-1628
33,0.5443575736270805,-53,1502,-7246,-3007,-4607,-6453,-2182,975,-3337,-5797,-7261,113,6208,83,2930,6202,3920
34,0.5603736500026942,-53,1502,-7246,-3007,-4607,-6453,-2182,975,-3337,-5797,-7261,113,6208,83,2930,6202,3920
35,0.5756892288454449,-53,1502,-7246,-3007,-4607,-6453,-2182,975,-3337,-5797,-7261,113,6208,83,2930,6202,3920
36,0.5913101527666231,-53,1502,-7246,-3007,-4607,-6453,-2182,975,-3337,-5797,-7261,113,6208,83,2930,6202,3920
37,0.6069392021170592,52,-3497,-6731,722,6892,4375,5516,1966,6794,7483,-5588,251,7948,-72,-7658,5181,6056
38,0.6230262690851366,52,-3497,-6731,722,6892,4375,5516,1966,6794,7483,-5588,251,7948,-72,-7658,5181,6056
39,0.6417250200783633,52,-3497,-6731,722,6892,4375,5516,1966,6794,7483,-5588,251,7948,-72,-7658,5181,6056
40,0.6580691072034924,81,3597,7253,-3113,7247,3352,3413,-5680,823,7055,3131,251,-7341,52,-2699,5427,-4887
41,0.6737879639299366,74,-7783,6090,-1362,4519,571,8163,-840,-5858,-2605,-2140,25,-7403,-42,-962,3016,6545
42,0.6890522242721112,-54,-3934,4858,-5184,-3245,39,3982,7262,6827,-2513,-6577,83,-1652,109,638,7215,-4349
43,0.7042938189431981,18,5698,-1187,-7421,-1306,-5000,3346,2069,7063,2422,-4532,126,-1790,1,-4701,-7467,4319
44,0.7193031973991784,18,5698,-1187,-7421,-1306,-5000,3346,2069,7063,2422,-4532,126,-1790,1,-4701,-7467,4319
45,0.7366296061561673,86,6459,276,6243,-7159,3484,7553,-5289,2275,6804,3443,234,-2946,-49,3025,5728,-6224
46,0.7522890189527776,86,6459,276,6243,-7159,3484,7553,-5289,2275,6804,3443,234,-2946,-49,3025,5728,-6224
47,0.7672650403833834,86,6459,276,6243,-7159,3484,7553,-5289,2275,6804,3443,234,-2946,-49,3025,5728,-6224
48,0.7817667933378323,50,2093,6828,6065,2750,2521,1120,-5001,837,6078,-6296,124,-6605,58,1604,126,7919
49,0.7980206454327817,-28,-7111,-6523,-1275,4371,855,395,448,3002,-4859,1349,124,-7019,105,-3277,1319,7520
50,0.8134234657265117,19,-7830,479,299,1805,-2011,6616,-6818,7530,-582,7170,94,7930,55,-1018,-1244,440
51,0.8281732581004115,-83,2517,-2943,-5638,-5073,2541,135,-4497,-3948,-6386,7359,19,6236,5,-6740,3666,3383
52,0.8450070092518703,83,-6064,4376,-6059,975,-2944,6940,-2993,-4451,-6854,-3154,32,-5094,-28,-6631,5952,5211
53,0.8600950760754006,-29,-4928,2273,2833,6142,-3836,2204,295,4112,1592,-1930,32,-2839,40,8181,2630,-5864
54,0.8760564127170666,-52,-2583,-7102,1926,-2429,-1442,7927,-3510,279,-5470,-5746,90,-5562,-82,7484,2275,-7869
55,0.8931805410509516,-104,-290,-887,-6841,5244,-1144,1709,3676,4944,8083,7742,44,6705,140,-3224,5728,-6090
56,0.9095939081518583,-32,2794,9,5383,4523,1865,6385,4610,-7818,6021,-7370,44,-6432,123,-2286,2041,3084
57,0.9261556712502641,-32,2794,9,5383,4523,1865,6385,4610,-7818,6021,-7370,44,-6432,123,-2286,2041,3084
58,0.9414481567677555,-76,-3595,7642,6993,5724,7642,23,-4947,5968,1206,-3335,44,382,121,1929,190,-1833
59,0.9567538995645625,-76,-3595,7642,6993,5724,7642,23,-4947,5968,1206,-3335,44,382,121,1929,190,-1833
60,0.9722957074640193,-10,237,-2249,-1036,4250,-1874,-5908,-5003,-5197,-4386,-3510,36,-5742,48,-5805,-5751,-1970
61,0.987240510140108,-98,771,-5703,5201,-7600,-2209,-5870,-786,2257,-7154,1782,228,-7577,-20,992,-82,7698
62,1.002098499019389,11,3138,-1563,1697,4074,3866,-7801,1915,1908,6358,-4352,95,-4199,-36,2068,-1719,5541
63,1.0169740217197,-76,5814,-5916,-3771,6693,7756,-7401,1303,5215,1443,5109,87,-2950,-19,3068,4050,-1448
64,1.033554173947479,-30,179,3469,380,-7424,-5368,1111,-7891,6017,-6173,5679,226,5026,123,2115,-1690,-3571
65,1.0563575496784468,-30,179,3469,380,-7424,-5368,1111,-7891,6017,-6173,5679,226,5026,123,2115,-1690,-3571
66,1.0797301331116373,-30,179,3469,380,-7424,-5368,1111,-7891,6017,-6173,5679,226,5026,123,2115,-1690,-3571
67,1.106779687111102,4,5090,-6489,-6314,2036,-6767,-1310,-2912,-4177,-7638,-5937,226,-6551,80,-3104,-6963,5735
