Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.03906822988053516,70,8024,-6304,-7290,-1780,-4315,4229,-7840,-4101,-6551,-3741,100,7966,101,2484,-769,-6647
2,0.290676953144211,57,-1150,1804,4872,8016,2295,1846,385,-451,2269,-2427,85,0,4,4713,5799,-5748
3,0.549389846237403,115,4843,917,-7202,-6664,-4061,-6685,2564,5949,-7633,5460,254,-2843,-68,-5201,3300,974
4,0.8109367950409371,119,-954,-5769,6356,-565,-6066,-2113,4136,3561,1458,-6838,232,1860,146,7463,-2488,5655
5,1.0795036660544102,-37,-992,7984,-8052,6695,-3419,-6348,-491,5210,4067,3929,247,2097,130,-1931,-6100,-2003
6,1.334312943556233,-37,-1969,-3273,-4781,7355,3041,4449,104,3544,-7536,-2780,89,-5821,103,3936,-650,-3620
7,1.44267035018357,-38,-7575,8034,-6452,-6172,1233,-2296,-5449,-1119,-5897,1852,100,754,96,-5923,-7747,-4816
8,1.510897237148496,-62,552,-6888,3327,-3917,3996,-4298,-3947,-3259,2640,6335,95,1361,-50,-7164,4893,4334
9,1.5857027085395867,-90,-7771,5087,785,-1188,4278,3388,8190,-5110,-741,1889,124,2959,144,-3636,4733,-3885
10,1.653888113174061,117,2640,-3418,734,-2027,408,5660,581,-8084,2177,-2385,119,2730,78,631,2882,7291
11,1.7283557387810609,121,2936,6542,-3694,-298,-7610,-1108,4866,-6169,2208,1745,116,5842,121,-5597,6917,-264
12,1.7967502656793586,-62,-3494,-6111,-1176,3190,255,7072,-950,-6153,6807,-4916,247,-7927,57,-5983,3216,4125
13,1.8657063008238732,-44,-4621,6207,1905,-6978,2945,-4432,-470,-546,-7803,6255,51,-1415,12,5594,7464,-1938
14,1.9321592835958765,116,4135,2057,7906,1553,-6139,-786,-5777,-5774,-616,3610,89,-4334,71,89,6406,-3066
15,2.000001282958674,116,-5981,4963,-979,-2532,-1968,4651,-6790,4316,-2065,1889,89,3453,-29,-3199,-3798,1675
16,2.0680023691970177,83,7029,-7304,-1975,346,2192,-2729,-7787,7699,-1367,-7651,35,5854,144,6217,4996,2020
17,2.1375211955464226,120,3256,5851,-356,4874,-110,-2766,5027,-1175,-7766,1848,245,-6210,-20,497,-5134,6531
18,2.205603535834105,-6,-5219,-2928,-5719,2123,4999,-2426,-4461,3121,4280,4972,127,-6819,-86,-3057,-3344,7203
19,2.279047788072333,52,-1489,-1084,4303,7982,-5917,3972,1705,-2686,2152,-6504,99,-2124,-72,-2771,7998,2778
20,2.347163485285533,-79,-581,-3135,2958,540,1017,2044,1670,-6044,-4732,1725,114,7040,-104,-146,-296,2695
21,2.412895872935773,-83,-7436,-6761,6677,-3792,-4748,6343,-1119,4369,-124,5101,244,-4483,-72,4209,-6011,-7292
22,2.4841843269491886,69,-7923,410,-6262,5686,-6983,-801,6314,-6025,-4269,-4152,249,2469,-34,-6287,7991,-444
23,2.5490109457757515,84,-6927,4315,-3199,5911,-4099,693,2408,-1275,-5608,5812,42,4759,24,2069,1690,708
24,2.6246807036600672,108,-4770,-7105,-7097,-5306,-1537,-2460,-7383,-1057,-6810,-1830,28,2162,-30,5109,-7367,-1984
25,2.690317724715557,108,-6723,5585,3536,1959,-4727,-3735,4248,3541,-12,-2595,102,130,70,-2881,-3526,523
26,2.7554672214750178,112,532,4127,-6828,-2241,7824,-3550,7161,-7635,-727,336,55,7646,122,-3518,-7842,-2689
27,2.8305549437743363,8,2886,-1281,-3412,3861,-4438,6061,-8036,4025,6809,-3244,126,4882,87,-2271,-2087,7645
28,2.903240112130588,62,2615,-7348,585,-8181,-1347,-4025,-2654,-6091,6605,6331,244,6229,-12,-1246,2416,2646
29,2.973672832708604,49,-3661,5584,-614,-2302,-431,-5969,-6496,-6791,-4553,-4242,107,-3555,-22,-5499,-4721,-6147
