Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.041356172848745584,-54,6162,-4462,7585,1579,-6451,-5592,6833,3062,1899,-2417,37,-1462,99,2540,-825,4297
2,0.30302927925519973,-101,-4623,-3428,-3219,-2872,7715,253,1685,-4049,7841,702,28,-5891,101,747,-2948,-1585
3,0.5758483029664143,43,-3096,7027,-7327,-3360,926,-3220,-5880,1227,5006,2311,228,-8052,56,2029,6654,-6676
4,0.8490539248913227,-22,-7876,7376,7403,-5391,1680,-2593,-1098,680,-2157,-7192,93,1493,22,7,4125,-4123
5,1.1143304345594855,90,-1557,-8069,-2483,4271,5116,-2117,3006,7662,-262,-3402,63,2980,0,-5959,-6964,-863
6,1.3929522803521295,71,-2990,2935,8125,7897,2280,7071,5310,628,-5552,6547,249,4411,29,-2949,1738,6103
7,1.6720432613664793,85,-2813,545,-1613,7166,2995,4082,516,2113,-4340,-2338,58,6591,122,6151,-260,4311
8,1.7742997718471825,-16,-6838,3858,-3131,4675,3730,-5638,-1616,-7585,2263,-753,16,-4880,133,4055,7270,-2316
9,1.850431822506944,128,2583,-5375,-5094,-205,-6603,-5064,-1562,-1291,-6847,-3026,227,-4773,135,3194,-3544,7418
10,1.9168351975435618,103,-1168,-3184,-7140,7318,552,3832,7029,-1172,214,5485,105,-4072,108,7167,4468,-5595
11,1.9936348143665712,-23,3457,-5995,-4257,7580,-1097,-426,-1618,-7950,-4095,-5980,17,7707,3,227,-650,-3828
12,2.0602207971877546,70,-3922,-3932,-5015,-7108,3071,-353,-1231,7017,1123,-5185,88,1918,86,214,1965,-5371
13,2.1305795338155833,107,-1472,-6255,1226,2882,3420,268,-3564,3221,-5036,3938,27,-795,-34,3938,6030,-2014
14,2.202137409150489,74,-6379,7958,4990,-2391,-5535,3904,1039,-769,5722,5313,91,-6417,107,6250,5531,1996
15,2.2798872706978655,24,576,2538,-334,5226,-7965,-2780,-2144,7303,-6600,2806,40,-1267,-41,-5911,3267,1030
16,2.3570559519660272,-11,6563,2839,-4972,-7267,-7917,6798,659,2293,-6563,1756,82,7499,23,-3592,-7229,-2620
17,2.4224975356502143,-59,5098,1910,39,-3644,356,-4516,6321,8008,994,88,21,-3498,-66,7536,3043,-71
18,2.4945001699920244,26,4433,4464,1060,-6417,-6920,1372,792,5776,-6630,4155,22,-4356,1,541,7321,-5222
19,2.5577457560796204,-35,1673,1214,-8094,-1830,-2343,4581,1331,1683,-2723,-5416,94,-7349,-84,107,-7402,5702
20,2.628308055483686,75,7724,4215,-4578,-1099,-7982,6700,-5767,1578,5226,1943,238,6961,-88,2041,-700,-694
21,2.699412191100971,-54,6136,-4225,6900,-2914,1361,4730,1315,253,-3797,5619,232,-6701,11,3734,-4539,-788
22,2.7699124808358047,-8,-5150,1094,-8033,4049,3448,7176,-86,-1583,-7505,-3238,230,-4072,-57,1272,-8039,-4498
23,2.8490928413044267,108,6041,-6512,1683,7986,-6239,5903,6159,-5147,-4563,7635,108,7704,57,-6046,-6973,85
24,2.922108157692727,-65,7143,-1444,6273,-6555,1747,744,6231,-6995,-6094,-2409,60,2550,132,-3091,7085,-2503
25,2.9918087365209156,-61,-435,1511,4070,-3384,1896,4917,6000,2456,3112,4526,85,7072,-104,-5174,4989,1108
26,3.065283352114423,128,755,2746,7245,7289,-2328,-5117,1790,7258,-3514,5354,25,-5376,80,-5650,-1178,-4899
27,3.132442817462778,-80,4064,-4034,16,1201,1510,647,1615,-5015,-436,4991,40,-7142,0,-4712,4972,3074
28,3.2061932691711443,-101,6432,-6616,4157,4692,3674,3707,5526,5853,6188,-2234,245,-3939,-91,5871,-5294,7577
29,3.2837588123223904,-29,-5402,7759,-6902,-7553,758,-3582,-1243,4322,-1993,291,227,-861,-27,6031,506,-3230
30,3.351049567108361,60,4931,-6974,7219,3538,2603,-1596,-4234,787,-4623,5510,20,-106,-64,-2927,3023,-6731
31,3.426316048316224,135,2686,-852,7588,820,-6381,4363,4722,3826,-2183,-1379,235,-502,-56,1552,6647,-7949
32,3.493093191979798,112,7645,3427,-1631,623,-8171,4309,-2236,-5307,2264,-6711,88,3927,37,-7129,-5411,-866
33,3.562272461933547,-48,5968,-6379,-1524,-4086,3886,5747,4378,-2795,2360,-3651,23,6447,12,474,-2503,-4148
34,3.6289448306387637,14,7572,-7144,-6619,535,127,7801,663,-3188,-6112,1936,96,8092,9,-6650,-1194,4774
35,3.6999736993471877,-22,-872,2929,3033,-7657,-5799,4254,3517,5153,-4026,-8121,102,-7666,-82,-7171,1784,-4623
36,3.7727319963478445,-1,-451,1339,2966,431,3444,8159,-6898,2844,-7941,-1001,111,2648,-106,55,521,-984
37,3.847261631624076,-82,1797,-1077,3888,-3929,3982,7024,-4204,-2023,-5827,-585,117,-733,109,-2574,-107,-889
