Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.09436916305512719,102,2468,7907,-5600,-108,-4272,-5166,-3536,3899,7077,7004,46,-2470,-4,8111,5030,3929
2,0.11155059704798878,102,2468,7907,-5600,-108,-4272,-5166,-3536,3899,7077,7004,46,-2470,-4,8111,5030,3929
3,0.12986788052026696,-94,-269,3895,-7595,-313,-2501,717,5130,1453,6086,-5195,228,2028,-105,2447,5441,-3097
4,0.1466939338966394,-65,-1741,6237,2189,-2285,7909,5701,-5766,-1355,821,4562,30,-3681,130,7289,760,7572
5,0.16993608280753253,-78,4404,5256,7754,3553,7617,-6081,7942,7168,-3166,3907,237,4799,54,-8148,844,-1348
6,0.19101387395663075,51,-4778,-1655,1701,2084,-351,-1227,4552,-7545,-7322,2989,26,1687,132,7917,6647,-4897
7,0.20951932526435443,51,-4778,-1655,1701,2084,-351,-1227,4552,-7545,-7322,2989,26,1687,132,7917,6647,-4897
8,0.22935349808282635,51,-4778,-1655,1701,2084,-351,-1227,4552,-7545,-7322,2989,26,1687,132,7917,6647,-4897
9,0.2493638644199427,48,-2042,4953,184,-7749,-3348,-7293,5658,7067,7391,-2813,29,-3123,-67,6823,4697,5982
10,0.2701628250492444,125,-1653,-5863,-3216,-6922,-7690,6941,899,4063,-1400,-2018,46,-2091,61,881,8108,3938
11,0.28769023126682286,125,-1653,-5863,-3216,-6922,-7690,6941,899,4063,-1400,-2018,46,-2091,61,881,8108,3938
12,0.3036665358044902,-48,-2324,-2236,1625,4374,-2205,5374,-4492,-2309,4774,4727,48,4405,-18,1761,7981,6424
13,0.3188063487827679,-48,-2324,-2236,1625,4374,-2205,5374,-4492,-2309,4774,4727,48,4405,-18,1761,7981,6424
14,0.3341274871297477,22,4403,4698,-6792,4451,-518,1309,1794,162,-3267,-4248,21,-7040,53,7507,7964,-6607
15,0.35015040597210495,3,-6131,-315,7791,-2394,4396,5821,-2583,1794,-7247,439,21,-1186,112,5077,-1500,-1129
16,0.3656113872331545,51,1517,-4312,-7902,-4509,2016,-4546,7702,-4932,406,3167,46,-6957,10,4017,-5193,-5279
17,0.38186310105724663,-5,-2508,-1203,8156,4320,-2564,4748,5917,2240,3170,-3078,254,6017,44,1181,-2649,-896
18,0.4102148620088285,-5,-2508,-1203,8156,4320,-2564,4748,5917,2240,3170,-3078,254,6017,44,1181,-2649,-896
19,0.42768881145497356,109,2743,-1085,5620,2424,3710,7668,4078,1048,-6744,-3442,53,-3020,87,-4092,-7574,944
20,0.44621307954624184,70,-1915,4543,4992,-2023,-4889,-2727,-2505,91,-17,-7688,108,813,17,5732,-282,-7168
21,0.4634359959937357,70,-1915,4543,4992,-2023,-4889,-2727,-2505,91,-17,-7688,108,813,17,5732,-282,-7168
22,0.48014016793124004,70,-1915,4543,4992,-2023,-4889,-2727,-2505,91,-17,-7688,108,813,17,5732,-282,-7168
23,0.4979818999648468,-54,-4938,-1540,3721,-7764,-5178,-6761,2984,-7885,-6428,-2446,108,-6093,39,-5250,7701,-5578
24,0.5139877126403454,-54,-4938,-1540,3721,-7764,-5178,-6761,2984,-7885,-6428,-2446,108,-6093,39,-5250,7701,-5578
25,0.5314539643114041,-72,-2696,4202,3563,-4274,3087,-5706,-3371,-7444,-4579,5430,111,6115,75,-4036,3174,5775
26,0.5465172271929892,-72,-2696,4202,3563,-4274,3087,-5706,-3371,-7444,-4579,5430,111,6115,75,-4036,3174,5775
27,0.5620521926257025,-72,-2696,4202,3563,-4274,3087,-5706,-3371,-7444,-4579,5430,111,6115,75,-4036,3174,5775
28,0.5778852330159284,103,-2500,-5341,6053,-1320,-5434,2870,7180,-2760,-6795,6743,111,7282,141,413,4729,266
29,0.594703160963043,99,4559,-8117,-3704,-6317,3796,-2000,7808,-3305,-7156,-5951,114,5668,40,-5959,4880,2503
30,0.6189721075396286,28,-7391,-3467,4748,785,-7936,1043,-820,-3445,2942,-3728,96,-6797,48,4178,-3828,-7196
31,0.6421081982159978,121,7103,5428,-1027,3857,2296,-5148,-5016,-2187,-4890,-2638,96,-5832,-71,-906,-1259,3359
32,0.6620604035857947,121,7103,5428,-1027,3857,2296,-5148,-5016,-2187,-4890,-2638,96,-5832,-71,-906,-1259,3359
33,0.6808737658969747,-70,-2711,18,-1046,1421,-5546,-7239,-3892,3877,6588,5268,96,6144,-12,-2117,5829,7283
34,0.7052688704541431,-70,-2711,18,-1046,1421,-5546,-7239,-3892,3877,6588,5268,96,6144,-12,-2117,5829,7283
35,0.729681936486513,-70,-2711,18,-1046,1421,-5546,-7239,-3892,3877,6588,5268,96,6144,-12,-2117,5829,7283
36,0.7483883852548263,-27,-4591,-250,-2028,-113,6513,1288,-2559,-7689,1444,-7039,224,-4341,-8,2990,2666,-7175
37,0.7679775122330476,127,-6561,2864,1798,-3736,1723,-134,-2441,7487,-1737,-3529,27,-6175,-87,6181,6281,42
38,0.78661083213804,144,43,-3002,3545,-4891,-7784,1877,-142,-2062,-5518,2837,45,2141,116,-7538,-3756,-8188
39,0.8094077930564358,144,43,-3002,3545,-4891,-7784,1877,-142,-2062,-5518,2837,45,2141,116,-7538,-3756,-8188
40,0.8416054479720212,22,7983,-4219,984,6580,4032,-4856,-6472,-406,-7327,6218,45,-261,-100,1753,1339,-7230
41,0.8702625540020305,-20,-3061,7217,702,-6301,2405,-5166,5322,451,-5573,4646,84,-6763,-106,3958,-5443,4265
42,0.8979446085210949,24,-5932,-3509,-2108,354,-5704,6529,-3466,1714,3666,8183,84,4401,66,-542,1389,-2920
43,0.9268630112498706,-71,1011,-1457,7522,7748,2998,-510,-4579,-3798,-6451,3371,244,1732,34,1826,1653,-415
44,0.9451597673219184,140,3359,-6751,155,1434,7136,-5022,-1699,767,7853,5675,226,7797,-92,-7288,-3662,-3485
45,0.9620555283282399,-47,-4761,5056,7283,6589,605,-5280,281,3836,2083,3306,255,-2907,-85,2828,-1699,-4342
46,0.9799289067705353,96,-3829,-4302,-1397,2590,-3834,3491,2455,-6500,-6001,6735,100,3009,14,-244,-5035,1867
47,0.9976402042818446,96,-3829,-4302,-1397,2590,-3834,3491,2455,-6500,-6001,6735,100,3009,14,-244,-5035,1867
48,1.0181333921785474,-83,1456,4358,-2344,2739,1181,-2162,2938,-2961,0,-5234,102,-7055,-15,-6354,163,-4558
49,1.0775516627621842,-83,1456,4358,-2344,2739,1181,-2162,2938,-2961,0,-5234,102,-7055,-15,-6354,163,-4558
50,1.1191380373581579,-83,1456,4358,-2344,2739,1181,-2162,2938,-2961,0,-5234,102,-7055,-15,-6354,163,-4558
51,1.1507677675340349,134,6163,2603,1440,-6811,5876,-3957,810,7956,-2417,-5322,113,-6752,14,1418,-3272,-7523
52,1.1711668715130148,99,-4243,-5965,6829,1488,-1445,7686,2531,42,-1258,-318,113,-2044,-92,-7216,3326,-4763
53,1.18989726891493,88,-83,-3759,-3765,-1572,609,4385,-5475,7579,4900,-6107,100,4202,92,5997,4721,4592
54,1.209453038867777,88,-83,-3759,-3765,-1572,609,4385,-5475,7579,4900,-6107,100,4202,92,5997,4721,4592
55,1.2281368219650024,88,-83,-3759,-3765,-1572,609,4385,-5475,7579,4900,-6107,100,4202,92,5997,4721,4592
56,1.2512848869581727,88,-83,-3759,-3765,-1572,609,4385,-5475,7579,4900,-6107,100,4202,92,5997,4721,4592
57,1.2701380211072992,88,-83,-3759,-3765,-1572,609,4385,-5475,7579,4900,-6107,100,4202,92,5997,4721,4592
58,1.2995315476205749,88,-83,-3759,-3765,-1572,609,4385,-5475,7579,4900,-6107,100,4202,92,5997,4721,4592
59,1.322911828828852,106,-5000,-6449,-7895,5796,-7950,3474,4177,5886,6120,-7261,249,-308,22,8138,-8056,-4562
60,1.3492946699749993,106,-5000,-6449,-7895,5796,-7950,3474,4177,5886,6120,-7261,249,-308,22,8138,-8056,-4562
61,1.3749158590417638,142,4990,4774,-5193,1401,5889,4131,-6479,-2522,-1396,-5476,43,-883,-18,5931,2053,-4697
62,1.401847808144075,142,4990,4774,-5193,1401,5889,4131,-6479,-2522,-1396,-5476,43,-883,-18,5931,2053,-4697
63,1.4251900281310914,142,4990,4774,-5193,1401,5889,4131,-6479,-2522,-1396,-5476,43,-883,-18,5931,2053,-4697
64,1.4470606901140897,142,4990,4774,-5193,1401,5889,4131,-6479,-2522,-1396,-5476,43,-883,-18,5931,2053,-4697
65,1.4670137507922294,33,8170,589,-1724,-5674,2140,2209,1985,-5680,5420,5570,244,-2482,97,4070,-2633,7557
66,1.4898539047819435,33,8170,589,-1724,-5674,2140,2209,1985,-5680,5420,5570,244,-2482,97,4070,-2633,7557
67,1.5233255414743292,-49,442,-5693,4851,-2557,-4105,5219,7310,-7218,968,6197,234,-6672,-3,1001,1409,7548
68,1.5665789120306817,-49,442,-5693,4851,-2557,-4105,5219,7310,-7218,968,6197,234,-6672,-3,1001,1409,7548
69,1.5859268420561954,-49,442,-5693,4851,-2557,-4105,5219,7310,-7218,968,6197,234,-6672,-3,1001,1409,7548
70,1.6025942357349536,-49,442,-5693,4851,-2557,-4105,5219,7310,-7218,968,6197,234,-6672,-3,1001,1409,7548
71,1.6187514379871515,108,3979,-7082,-4736,-6537,-5549,1318,3213,5243,-5843,-5568,114,6116,-77,-4239,-5436,3398
72,1.6345147707474283,130,-5593,-3227,1591,-4065,-3750,-5628,-3478,-5846,6420,-4596,97,-5122,67,-7574,1063,8104
73,1.6511227204963526,130,-5593,-3227,1591,-4065,-3750,-5628,-3478,-5846,6420,-4596,97,-5122,67,-7574,1063,8104
74,1.6683520517564185,130,-5593,-3227,1591,-4065,-3750,-5628,-3478,-5846,6420,-4596,97,-5122,67,-7574,1063,8104
75,1.6842171662095045,-74,-528,4188,2278,-5945,-8073,730,-7674,-3271,-5505,4567,53,-7243,19,2280,-8139,5818
76,1.7022239727532975,-30,-1400,-3944,-2612,-6764,3610,-3821,-5578,-2150,-7088,-5529,36,6408,60,-3355,4004,-4026
77,1.720594712997009,-30,-1400,-3944,-2612,-6764,3610,-3821,-5578,-2150,-7088,-5529,36,6408,60,-3355,4004,-4026
78,1.7379587553210871,133,1431,-7842,4223,4407,-1366,1216,1199,3293,2695,-4862,89,4224,130,-4257,-6310,-3940
79,1.755263353715331,-104,-2501,-5603,721,1352,6625,-2092,6782,1423,7238,-3946,17,-7313,99,-8119,1980,3638
80,1.7723374465111545,-104,-2501,-5603,721,1352,6625,-2092,6782,1423,7238,-3946,17,-7313,99,-8119,1980,3638
81,1.7897673475776386,-104,-2501,-5603,721,1352,6625,-2092,6782,1423,7238,-3946,17,-7313,99,-8119,1980,3638
82,1.8074978895266638,-104,-2501,-5603,721,1352,6625,-2092,6782,1423,7238,-3946,17,-7313,99,-8119,1980,3638
83,1.8274103230585141,-104,-2501,-5603,721,1352,6625,-2092,6782,1423,7238,-3946,17,-7313,99,-8119,1980,3638
84,1.8519392833713517,-104,-2501,-5603,721,1352,6625,-2092,6782,1423,7238,-3946,17,-7313,99,-8119,1980,3638
85,1.8677821598075215,-104,-2501,-5603,721,1352,6625,-2092,6782,1423,7238,-3946,17,-7313,99,-8119,1980,3638
86,1.8831375104882186,-104,-2501,-5603,721,1352,6625,-2092,6782,1423,7238,-3946,17,-7313,99,-8119,1980,3638
87,1.8980309946637313,-104,-2501,-5603,721,1352,6625,-2092,6782,1423,7238,-3946,17,-7313,99,-8119,1980,3638
88,1.9133307503021377,-59,-3109,94,-4395,-7430,355,-8129,4874,-2120,-4001,-2699,17,-6103,141,6255,-2358,-2763
89,1.9428983320632005,62,-5226,-6871,6188,-7627,4693,-5064,-594,-5477,-5112,-7871,90,31,130,5751,8070,-1433
90,1.961269927615255,62,-5226,-6871,6188,-7627,4693,-5064,-594,-5477,-5112,-7871,90,31,130,5751,8070,-1433
91,1.9787122306527114,61,-2646,7742,-6305,-2923,381,-1327,1188,-3767,-2581,3966,247,1482,121,6555,3126,-7953
92,2.0009297201687692,61,-2646,7742,-6305,-2923,381,-1327,1188,-3767,-2581,3966,247,1482,121,6555,3126,-7953
93,2.0193924060593464,61,-2646,7742,-6305,-2923,381,-1327,1188,-3767,-2581,3966,247,1482,121,6555,3126,-7953
94,2.0373645726152505,31,4723,6097,-3498,2551,6840,-3172,4097,1249,2580,-4736,113,536,7,5597,-788,-2539
95,2.058670731091912,-17,2857,-5800,5613,4906,-3629,-2794,5631,-4902,-6944,1889,51,3151,52,5400,-2756,-1848
96,2.0758838114934623,103,3640,7009,-4818,2641,3591,3616,6724,2103,5643,-5185,44,412,136,-7066,6728,-6814
97,2.0929869847729456,103,3640,7009,-4818,2641,3591,3616,6724,2103,5643,-5185,44,412,136,-7066,6728,-6814
98,2.1089684211606707,102,1345,-5844,-6316,2973,-1054,-6394,5740,-6174,-2227,-7253,232,-7651,91,-4788,4500,-1967
99,2.1244777273430957,94,6290,-7304,-1466,-515,-6029,-396,-3053,-7166,-2616,6059,24,1189,-102,-3276,-1452,3938
100,2.1437409818426594,-101,-5289,2023,6826,948,-3886,159,-1958,6363,-2644,7028,226,-8106,9,-2486,1513,-7235
101,2.162645862146533,-101,-5289,2023,6826,948,-3886,159,-1958,6363,-2644,7028,226,-8106,9,-2486,1513,-7235
102,2.182242686899841,53,-7302,-4664,-3559,5944,-3449,-2335,-7293,-4607,-1416,-5966,239,-5492,147,6604,-6534,-4010
103,2.200595038014179,-50,5444,-767,955,-4640,6985,-6764,6594,4375,7165,-2753,57,-5054,-46,-4940,-6647,-5079
104,2.2175690597338793,-40,-4377,-5371,-6677,7796,593,-2695,6723,-1619,-2240,6130,42,-3247,141,-6473,-2495,-3870
105,2.2375866961919106,138,-8170,946,2454,-6268,-3017,-3659,6312,-6730,-6816,1814,94,2962,79,-2667,-6737,7279
106,2.2550841666174866,138,-8170,946,2454,-6268,-3017,-3659,6312,-6730,-6816,1814,94,2962,79,-2667,-6737,7279
107,2.270471163706872,129,-7752,-5462,-2500,7109,-7961,2977,-215,2296,1069,1933,61,3655,94,-6662,-1336,7867
108,2.287195863044607,18,2276,-2381,-4743,-6816,5052,4497,-220,-6629,-1926,171,60,3619,-71,-2532,-42,1811
109,2.3034586958771572,-79,-2820,-4132,1671,6799,5016,-3345,-4584,-7785,2218,-2580,89,8187,-66,-4823,3305,-2085
110,2.319235713570921,-79,-2820,-4132,1671,6799,5016,-3345,-4584,-7785,2218,-2580,89,8187,-66,-4823,3305,-2085
111,2.3350319757024005,6,6738,5406,-2408,-6095,-2530,-543,-1434,-2529,711,-1546,230,-7457,-45,-7575,7201,-3416
112,2.35455353332153,-100,-7321,-5474,-7016,-7591,3682,6926,-2617,-3254,4906,5031,56,1862,-19,-6891,5259,5118
113,2.3722494352826664,-100,-7321,-5474,-7016,-7591,3682,6926,-2617,-3254,4906,5031,56,1862,-19,-6891,5259,5118
114,2.3895745610771413,60,-5922,7966,-6085,-875,6811,-6296,2724,-5586,7308,-7939,250,-1307,81,-7670,-6641,-5485
