Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.01944586283077981,30,-1892,-2285,72,-3654,-2127,4237,-5310,-895,1289,-557,22,6826,139,3439,-5961,-7584
2,0.0392428297363341,56,-1343,45,7611,-4909,6769,-763,-2130,-7994,6595,1191,97,-4451,110,2051,-592,7817
3,0.055535170706715625,54,6187,167,-5924,5290,7920,-1015,6802,-867,-5820,-4083,97,-1098,47,-7692,2614,-2330
4,0.071673556175369,-98,-3935,1824,-782,430,7411,1989,5064,7711,2919,7837,97,-3339,66,-7462,-6646,8035
5,0.08780338856059304,-98,-3935,1824,-782,430,7411,1989,5064,7711,2919,7837,97,-3339,66,-7462,-6646,8035
6,0.10500406699117065,66,2871,-7205,5971,6832,-3787,5708,-7195,6797,468,7340,110,5712,-16,-3936,4506,-7209
7,0.1211180761720504,-52,4419,7806,7092,-2703,3574,25,-6460,-6200,6785,-7241,233,2178,-59,-4186,4094,5264
8,0.13685574968203912,122,5627,55,-5471,-1705,5024,2543,6009,3574,7899,-856,38,5014,-22,71,2544,6946
9,0.15235137093097748,-67,450,7039,367,-5355,4243,-3130,2423,2232,741,-7628,99,4990,19,1818,-1001,2950
10,0.16805183852804856,149,1664,3559,1470,-5083,1484,162,-3158,7149,5016,-3198,237,-1771,135,-7851,5752,-358
11,0.18405978947440446,149,1664,3559,1470,-5083,1484,162,-3158,7149,5016,-3198,237,-1771,135,-7851,5752,-358
12,0.20010109744613483,107,-2600,-6205,5594,-3210,1803,3156,2531,7870,-5603,6259,48,-6833,-67,2469,-4235,4772
13,0.21673513409951856,-69,6708,-5692,-446,2987,-3087,6338,7140,8057,-451,530,48,7300,2,972,-7214,381
14,0.2333520645860436,-84,3729,-2764,4780,-314,7426,6761,-2868,6071,-2838,1160,252,-5989,-54,-1949,-6097,4595
15,0.2527577279247055,-27,-7471,-958,6942,-5023,4713,-21,1404,-8006,-932,-2005,53,3737,28,677,2185,-1864
16,0.2718909755561429,-21,3765,-1253,-7037,-559,7230,-6579,-3207,2992,-1223,3153,53,-6533,-28,-7000,-7089,5794
17,0.28985074014107454,-21,3765,-1253,-7037,-559,7230,-6579,-3207,2992,-1223,3153,53,-6533,-28,-7000,-7089,5794
18,0.30808334808740223,-21,3765,-1253,-7037,-559,7230,-6579,-3207,2992,-1223,3153,53,-6533,-28,-7000,-7089,5794
19,0.32451510431768205,128,2646,5403,-5886,-4785,-3457,7610,754,-5691,1106,7924,51,-4597,-34,4293,-7531,2033
20,0.3418898379960468,-32,6395,1973,-3188,-847,2902,6138,2881,-2551,6800,-387,44,7226,57,1449,-3508,6700
21,0.35887540637837645,126,3132,-6755,4348,-4430,-917,2728,-7794,4020,-15,6181,227,3387,-12,-6679,-7972,-6240
22,0.37563089681645684,90,-7494,-2363,-7535,2635,5990,3115,-1595,-7192,-2510,622,227,1858,-9,-7198,3048,-3247
23,0.3931035633000875,-59,-2543,6733,7539,1847,3489,4519,1301,-1402,-7818,3888,227,-3810,-99,-6747,-4775,3631
24,0.4092098747058808,-8,-7679,-6212,5541,-2166,7270,-2245,4050,7383,6384,6614,227,-781,14,-6697,5288,-2386
25,0.4259200338017857,-34,7314,-7072,444,-1092,-6256,3905,8122,5967,4495,5797,245,-5277,129,2806,-6898,1808
26,0.443547083441316,18,-8081,-2448,-4828,-1818,-4277,-6370,3461,-392,-2041,2250,226,-1024,58,-497,-1622,-6214
27,0.4620474028989821,129,243,6178,6421,203,-6486,-3292,-6593,-7530,-7853,3572,226,5141,-82,5933,1001,-6501
28,0.4793143677261371,129,243,6178,6421,203,-6486,-3292,-6593,-7530,-7853,3572,226,5141,-82,5933,1001,-6501
29,0.49637691385933086,129,243,6178,6421,203,-6486,-3292,-6593,-7530,-7853,3572,226,5141,-82,5933,1001,-6501
30,0.5135198589767604,-44,1056,-279,4616,-1749,-5256,-3815,-20,3582,5872,-2617,115,3099,48,-1524,-1186,-3595
31,0.530479768108802,-44,1056,-279,4616,-1749,-5256,-3815,-20,3582,5872,-2617,115,3099,48,-1524,-1186,-3595
32,0.5481585639030799,23,3502,-326,-5249,-6793,-5273,466,-6325,-5503,2047,6969,36,-7530,-97,-2924,3750,-3435
33,0.5658099898303838,6,6820,7179,-5967,7553,-3551,2201,370,-5435,1984,5856,239,2535,31,3628,7047,-4077
34,0.5809592112004338,-78,-5345,-6517,-6406,-5831,-7286,410,3113,7177,2475,3403,239,6684,144,-1395,-6140,-5875
35,0.5971031561733162,36,4033,962,1184,3717,-991,-136,-3930,2589,1132,-7245,42,-8160,81,-1193,-3339,-5746
36,0.6140002001421523,-25,5224,5411,943,-5377,4044,-2004,4579,-3791,2667,210,60,-3479,-89,-4749,-4018,810
37,0.6315759312811065,150,-4308,-5035,-3894,7142,2166,6496,8090,-525,-8152,-140,96,-6127,-64,-5363,-7880,7166
38,0.6500044048379661,16,-463,-1137,7187,-160,-5652,3058,-338,3213,5004,6661,102,4996,59,-705,-3630,7192
39,0.6663929679969277,16,-463,-1137,7187,-160,-5652,3058,-338,3213,5004,6661,102,4996,59,-705,-3630,7192
40,0.683051380938085,57,-6598,3363,719,684,-685,7870,-1194,-1072,-1980,916,19,-5271,32,-5906,846,6990
41,0.7006788582317869,-44,-6186,6812,-8102,3320,-2706,129,4035,5772,2585,-1494,45,-6816,41,-886,4384,-6840
42,0.7186488865168338,-3,-1881,-1283,1175,-2765,5781,143,2094,-851,-5902,-2244,120,-4652,-62,5619,7080,-3414
43,0.7352645340408444,147,-4495,4395,-2209,1248,-7789,-5084,-3404,6997,-1987,-1616,109,-6386,39,4085,-3086,-2361
44,0.7510026352050045,147,-4495,4395,-2209,1248,-7789,-5084,-3404,6997,-1987,-1616,109,-6386,39,4085,-3086,-2361
45,0.7665833596340649,147,-4495,4395,-2209,1248,-7789,-5084,-3404,6997,-1987,-1616,109,-6386,39,4085,-3086,-2361
46,0.7819878905444807,147,-4495,4395,-2209,1248,-7789,-5084,-3404,6997,-1987,-1616,109,-6386,39,4085,-3086,-2361
47,0.7976058208864587,147,-4495,4395,-2209,1248,-7789,-5084,-3404,6997,-1987,-1616,109,-6386,39,4085,-3086,-2361
48,0.8139088532111268,-102,340,4646,420,-6270,377,-4914,4711,3031,-2952,5295,103,-4531,-24,1832,4425,-5071
49,0.8304723269262185,-102,340,4646,420,-6270,377,-4914,4711,3031,-2952,5295,103,-4531,-24,1832,4425,-5071
50,0.8491843351987608,-102,340,4646,420,-6270,377,-4914,4711,3031,-2952,5295,103,-4531,-24,1832,4425,-5071
51,0.8654121003892509,-102,340,4646,420,-6270,377,-4914,4711,3031,-2952,5295,103,-4531,-24,1832,4425,-5071
52,0.8813982409728619,123,7440,-1140,-5608,4390,-4079,6222,-2591,1815,-7342,2295,108,6030,106,-7383,-2952,-1883
53,0.8977401898271337,141,2618,3932,-363,-600,-800,-4807,1244,8149,5536,2259,233,-2224,-2,-261,-4491,7007
54,0.9149301769034246,87,-1281,4169,6812,2454,2697,2229,4900,-984,-5442,-3210,47,-7324,110,7897,3082,2526
55,0.9308247994943417,20,1076,-2029,4426,1441,-2248,7538,2843,-5888,-4620,4249,83,-1562,144,-5676,-3689,-6597
56,0.9471735908153569,-95,-2821,-3285,3094,145,-134,514,-5319,4485,5140,-6925,106,4642,-105,-5257,6860,2749
57,0.9628920198876296,-37,5425,-861,-1678,-4286,-2433,-3623,7684,5283,-6160,-8167,40,3556,-47,-3561,-3829,-4779
58,0.978497548258635,-98,-1058,-4592,6352,-3997,7065,-453,-266,5311,5396,7095,234,5618,39,-1574,-5113,-5620
59,0.993075423655605,52,-3395,-5539,-7527,6528,-2029,4816,930,1299,-6038,279,45,2224,142,3064,-2097,-2565
60,1.0086736819056954,114,-2202,-5394,-1912,4791,3695,6168,-5177,7912,-221,-7112,45,719,142,6155,1872,-2854
61,1.0240653831909672,1,-5761,-2423,-2,1432,-714,1801,-6116,6566,-3536,812,45,6612,-10,-5282,5314,317
62,1.0469055371806812,1,-5761,-2423,-2,1432,-714,1801,-6116,6566,-3536,812,45,6612,-10,-5282,5314,317
63,1.0716624371669108,143,4580,3948,1828,-4698,-5073,3412,6055,-104,-5212,3180,45,-6523,5,2124,-840,2439
64,1.091960187107253,-19,-7505,609,-4195,1515,5715,487,2039,-482,-5805,6485,253,-3713,84,-1630,6474,6455
65,1.1110630712925162,35,7834,7711,-2708,639,6111,5615,1775,5896,1511,1459,45,6207,93,310,457,1341
66,1.126626689554718,-6,3956,7577,-1393,5206,-162,4956,263,4835,5779,-1917,250,5214,22,-6237,4407,718
67,1.1428852458455536,110,2200,-1739,5298,-4727,-6524,-508,-5444,-148,5327,-5974,51,4172,8,6491,-6151,3941
68,1.1589214219672264,-94,-4148,-3325,4716,-4442,-5017,3872,2063,-1843,957,-1693,89,6681,17,-4585,7760,-5446
69,1.176199078148668,76,4936,1400,1714,-4277,-7307,-6535,2140,7998,-2869,1765,114,7353,114,2670,4402,6231
70,1.193062337437958,99,3632,4896,-3025,-6067,-2552,-7492,-163,5571,7630,-1125,114,4953,133,4220,4024,-7039
71,1.2099662238735376,1,-6165,4402,-604,668,-7834,-5331,4600,-5890,-753,7934,87,-886,100,-1055,-6505,4320
72,1.2255439547233975,-83,4898,1218,7386,5353,1843,4399,-605,1626,1895,6742,60,5668,-39,7043,-7164,7114
73,1.2440553931895217,81,3637,-1600,5946,6546,-2209,67,1579,-5339,4434,-839,23,1486,-51,6349,-7001,-838
74,1.2589715430361221,75,2666,-2810,-991,-253,-7001,4382,-5062,1946,-114,6999,228,-3731,55,620,3247,6205
75,1.274278141141272,75,2666,-2810,-991,-253,-7001,4382,-5062,1946,-114,6999,228,-3731,55,620,3247,6205
