Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.042168713342128725,10,4052,5413,-3344,-7738,-7684,-7428,4458,5798,3718,5626,0,5750,131,635,-3030,-674
2,0.29902901411040717,101,5147,3526,-4334,8105,-1922,-3062,4422,6309,4677,-4371,107,-120,-29,-246,439,5789
3,0.5713434074099416,0,4724,1527,-2192,4226,7914,7473,4323,5492,-5426,-6463,235,3226,117,601,-7173,-2774
4,0.8348220643232713,81,-7416,-579,4277,-7027,6505,4520,-5126,3048,-973,-6736,238,-7056,6,4349,-4083,-7790
5,1.0804372323160183,-97,-7788,1835,-6395,-4935,-3733,5461,3168,4492,3666,-3999,122,-3673,146,6149,-1232,-6258
6,1.3609458826648761,-88,3963,3975,-976,-6418,3172,1261,7233,-3425,-2991,-7625,32,-3897,-60,-428,5535,-7362
7,1.627031511603292,0,613,-14,-8159,5626,6241,-6770,5694,-8141,155,4172,239,-1767,-56,-909,-1456,-5529
8,1.8806493481500806,63,3484,-576,-1373,880,-2635,5769,-2502,-1411,-604,1255,100,3604,-2,-6873,2033,-4540
9,2.1485683250333034,-56,-3159,6015,-6500,-952,4887,4608,-1206,4233,5739,-6141,19,1809,-9,-1451,-739,-3708
10,2.4035760334766683,30,-5216,1500,-446,6180,1914,-5939,-6856,-6429,1840,7082,49,-346,40,-5874,5914,1971
11,2.6568829663715148,142,-1792,4544,-5961,6871,-5766,-6258,4571,-6873,-1030,-3150,34,6736,122,3251,4607,6187
12,2.9025614269921673,17,-5230,-1350,3628,2949,5167,-7727,685,1404,-2300,-7692,238,4791,-88,567,-2735,-4253
13,3.1543288094784985,30,2856,664,6395,-2211,-6371,-5201,-4400,710,-3320,363,22,2904,33,729,-5339,3943
14,3.2713872418312953,-37,4513,-1184,-979,5109,7471,3616,-426,3901,4300,2635,21,-8105,-65,-6601,-1565,3291
15,3.3447711950118566,-83,1798,5169,1693,6741,-6987,-1116,2013,4725,3217,-5403,61,-5901,-2,-3734,311,-8141
16,3.411400798427948,91,-6553,3852,2785,-3989,-8191,-7873,5303,6376,-3354,218,254,-4352,27,-7586,1290,7417
17,3.4898130943038774,74,-1151,-7596,6684,-7245,7147,6075,6426,3628,-4811,-5169,105,6686,-16,7153,-6885,7350
18,3.557289022791761,-88,5417,-4957,-5693,-2953,5271,-4617,-4765,-1611,7535,-115,126,-7378,64,5908,-7295,6965
19,3.634244732920078,-19,6591,3855,1731,-1368,-4161,4461,-7638,-8147,-2187,556,237,1168,-3,3660,-2780,-3000
20,3.7075222005307173,129,-4867,1035,672,1020,-7607,7654,-2386,-3204,-4306,-5339,119,-7237,78,-1011,-6074,-7286
21,3.78138384199081,22,1549,-6479,-71,-126,5550,5281,-65,4865,6309,4066,61,-5713,-69,-183,-6959,-2948
22,3.8563103391501254,29,4672,2869,-3560,-8068,4172,-2129,3012,-7917,-953,8003,35,3077,63,2167,4695,-7108
23,3.9301189516517026,139,-3238,-5236,-7661,4800,6654,4332,-4661,-2300,-202,-3009,252,4100,-38,-3784,-7643,-452
24,3.9971821950995254,-44,-6527,-7557,5045,565,7334,-5200,1040,-7685,-1960,6396,122,3019,-51,5178,-2092,4586
25,4.069733935753706,0,1922,-4572,-675,3347,907,2616,6516,1784,5375,-2382,100,6229,92,4794,5097,5349
26,4.1405759201486525,43,6330,4927,1852,-2824,1505,-3050,-2129,-519,5737,1065,253,-4354,105,8151,27,1626
27,4.208916990435543,79,-3393,-6799,6627,2556,-1221,1109,-2136,-7838,-4759,5842,243,7294,-71,-3269,819,-5044
28,4.278898109560394,4,-5082,-1834,-2494,-1504,-6954,-2759,-5702,-3141,-125,-322,227,-627,148,3781,4371,2733
29,4.3551357904842956,29,-4519,-3846,-213,-6528,6422,7993,1348,-3295,-5004,-2929,16,117,9,-3928,-199,2165
30,4.424720475378954,46,-4061,5743,-1859,-1539,4470,-92,5896,-7656,-7667,-2194,52,4113,-62,-55,-4630,4322
31,4.498377271104135,45,-5126,-401,-7701,2757,-1209,4415,7999,2439,-8187,2830,227,3827,62,-6834,6892,2299
32,4.568676136327189,-91,-851,503,435,6295,3274,-2628,-5495,-7145,4325,6546,227,-4013,137,-1310,6374,1038
33,4.641865079789338,-69,1178,1223,-4290,5939,448,601,955,1617,-2170,5408,108,1898,-31,5447,2039,4557
34,4.706657486384601,63,1468,737,6629,6947,6217,7775,-6610,2892,-7035,513,238,-2586,-18,-1718,-2872,-6916
35,4.780521693762041,48,-2848,5829,-7350,-3853,301,4506,2389,5864,3602,-902,101,-4333,19,7012,-2731,-3805
36,4.848613870066222,38,6381,8050,7175,-4896,5417,121,6255,-1070,6638,6206,117,-220,-75,4915,-2138,117
37,4.921654845627997,76,4048,-7173,-6455,-3060,-118,2467,-3327,-7227,6114,8105,113,6873,-8,-3042,6512,-6986
38,4.9888198704639395,116,-3910,-3496,-244,7553,-698,3249,-8063,-7792,-3464,531,113,6727,81,4504,-6578,-7652
39,5.060749376161345,-94,5617,4141,152,7162,3295,-7225,-16,895,1293,6941,227,4743,-68,5267,-5250,1576
40,5.134787638265525,90,2394,2303,-4970,-4014,-1393,-391,4825,-7863,1381,-4998,29,-682,-20,5292,-2,6664
41,5.2066748063266965,-20,6150,7416,-124,6790,8021,-6455,-2221,1122,4088,-3767,109,5193,-14,-7575,-5762,-3999
42,5.272377258274549,113,-2017,3380,-5757,-3215,3738,8100,3387,437,545,2607,237,-1638,-7,-2627,-7960,-240
43,5.348747511594739,-16,-4629,4317,5132,6399,3320,2572,5066,-4873,7938,7789,18,-3363,148,3009,-2095,-5940
44,5.417510675285298,71,-4525,8021,-5027,-4950,8110,-3267,-3522,1410,-4437,-5880,29,-3974,52,-7037,6524,5477
