Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.03542804847017869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.28509223403732126,-35,3923,-4994,1309,4764,-1994,1131,-7928,4063,6269,7645,43,5700,2,7698,-7901,-3756
3,0.5586147467546492,54,-7828,6480,4484,-7969,2127,4752,-5408,-4012,3932,-7758,236,-2054,23,-5997,-2093,-2200
4,0.8214839982979415,-88,-3026,-1610,-373,5591,-6696,-4536,7896,2744,-2628,3090,108,-3215,-63,-569,7809,8033
5,1.0732954290320718,102,-4793,1010,8070,3540,5610,1575,-6205,-2191,-4038,7977,63,5577,-63,4227,865,-6481
6,1.3294317134554567,19,6525,2021,6906,-7482,2915,-7930,5272,-5345,4084,-899,118,-39,91,2087,-7438,-2296
7,1.4998689243888306,-90,-5366,3557,-4819,4709,-6206,997,4705,4407,4949,4098,30,-7126,-12,324,-3265,2415
8,1.567633946231202,128,3901,-4408,1790,3878,4587,6354,2181,4972,3569,-7582,224,2122,13,-152,5264,-1553
9,1.6369025956392236,14,-1244,4544,945,-5178,-2253,-4224,-4070,-1369,5376,-7340,38,-513,73,-5007,3323,7703
10,1.7121494048140886,31,2061,7783,-2789,-7111,-6100,1213,-1460,7605,-1590,5585,21,4,-77,-2363,5449,1457
11,1.7804934686712184,106,627,6104,-120,-5961,-7342,-94,7484,7904,6004,1674,236,3012,21,-5821,-4275,-1571
12,1.851386771413115,71,5585,2810,-5095,3237,-7184,-4951,-522,-3490,-2253,934,49,-5826,19,-2373,-1245,-6092
13,1.924857965783492,97,6058,-260,-312,3519,5865,-3774,3685,6383,4926,7403,82,-2427,-28,3490,1674,-5773
14,1.995985622309796,134,1845,-7980,-2561,3764,-901,-3640,7022,3910,1543,6057,126,919,-27,105,4889,552
15,2.0662648154998515,86,-6613,-3015,-2529,7735,-6899,-5831,-6080,-5748,2152,1004,55,7341,36,4822,5856,6926
16,2.135770812262519,144,7581,6426,1506,996,1120,7947,6728,-4061,6437,5786,232,4745,101,-4614,-7786,5486
17,2.2027472421734173,125,-7577,7135,-2030,-4176,-886,76,308,7758,6282,6684,84,-2859,-87,6849,-1101,1294
18,2.277486855019255,-90,5364,3171,2532,4763,-2819,1436,-5105,6721,-3039,7007,47,-1712,119,3344,-460,3367
19,2.3471912827234647,50,7230,1953,1909,-1444,1662,2692,-2850,3285,4387,3413,33,-6806,31,5047,-5792,-2408
20,2.421738879421129,-52,681,-2349,1490,6137,-3322,2848,6768,5785,-1618,-5962,254,-7300,104,4345,-6086,-4268
