Sampling Freq:,Counter:,Time:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,T8:,O2:,O1:,AF3:
,1,10.852279346170327,-202,-8149,617,3224,-2445,3422,4371,-1272,-553,2753,8074,4965,1631,6079
,2,10.89592857515526,-1551,1144,-5057,-7130,208,127,-1253,7365,1134,4286,5,5098,-7244,454
,3,10.935661360636963,4945,7778,4599,784,591,4492,7229,-4284,3489,-2481,4050,-3629,5566,-414
,4,10.971884400341096,241,5483,4272,-6872,3878,4813,-4863,7908,36,-8153,-6333,-5501,5638,-4375
,5,11.012039706698667,7093,-6650,6177,-118,2144,-4424,-7008,-5618,1698,-4190,-6460,359,-3780,4429
,6,11.06703071316221,-1078,1254,3718,-3112,-1767,-6119,-3909,1409,-784,5934,4258,4196,-3212,-1733
,7,11.107994710791303,3531,-1620,99,-2112,-2678,4031,614,6101,5414,-2371,-6443,-5122,-2127,5083
,8,11.144576123465047,-3810,-1199,-623,-2426,4784,-3463,-6173,2724,-3515,3534,-4356,2947,761,4503
,9,11.185696641985404,-3359,7006,605,-1168,2954,-4916,2332,-844,5749,4516,6908,-1690,-95,6182
,10,11.222973845615662,8100,-837,7578,3559,3806,5150,-1570,-3245,-7035,1376,7717,727,-6213,-3832
,11,11.259639505872954,-361,4250,-4736,5069,-3260,1303,-1488,-6422,5223,-5682,-224,2939,2828,-3246
,12,11.299982979422207,2552,-7695,1808,2117,7875,3570,-1558,2686,1545,3528,-6675,-57,4967,-3049
,13,11.337708790743543,-510,4110,4239,2422,-7554,-265,1936,-4127,752,-3911,-6936,6743,5046,4949
,14,11.372875528258009,-2020,6329,6692,-5744,8159,-7552,4370,-4939,7581,-1543,-3324,-5767,6413,-1162
,15,11.409299564735074,-522,-5221,-3491,1519,-820,-5022,-8176,6180,7002,-7020,-260,-2209,-4822,-5045
,16,11.455668237292514,-59,-5015,1844,7126,2877,-6000,-4395,8112,-4237,3788,2470,2019,-4779,2074
,17,11.494021842789733,3355,533,-6087,-3506,-4095,7092,-2858,3250,3675,-1291,6854,-6838,-3216,4153
,18,11.5273436865203,-1943,-4032,-7436,125,1249,6673,3526,-756,6915,-3761,-271,716,7687,7039
,19,11.568842677687561,2770,-5973,5456,-2925,-4882,-4904,6738,1827,-5915,7673,5160,-1972,239,4059
,20,11.604119749600786,4622,-1977,-3442,3525,7319,1838,-1359,-3321,-105,3814,4771,1206,-1391,-2294
,21,11.649569396487944,3655,-3022,5175,-6260,-711,-3441,-923,-5769,7154,-6888,-3298,5011,3117,-4017
,22,11.691492191489198,2751,4719,-5501,-5432,183,-1689,4433,-6993,4375,-3844,4978,-7885,-3910,-7001
,23,11.727281591347046,4708,6738,6927,3529,4431,-1572,1117,-3385,5401,4643,-4534,3077,999,-6637
,24,11.765822081077822,-3236,-6375,-3305,1435,-7671,-4912,-6353,1313,-4977,-6183,-4454,3471,6901,-2950
,25,11.80311767377454,540,-506,-4784,-5954,3440,3116,7035,-251,-2857,-7206,-5468,-6083,2505,6577
,26,11.840330301845835,-2630,-6591,4358,-1323,3322,646,5349,1376,5327,-3661,-5049,-1897,-8127,2058
,27,11.875239592429862,-4497,-8102,-7976,-784,-4854,4538,-1978,5821,-3166,-6202,8071,-4596,486,-7658
,28,11.910807040532069,6241,2095,6017,-5568,-2413,5200,-795,262,-7819,-973,-7059,6142,4413,5658
,29,11.951760774496162,-2032,3334,3744,-6894,4289,930,-7212,-5586,-74,2720,520,5635,126,1491
