Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
1,0.04092638169303503,-60,-381,7862,-3876,2507,977,3921,-1605,8019,-5126,-3148,50,-4163,27,-2660,-652,2115
2,0.3035488775180737,-92,7268,2518,1763,-2955,-906,-3202,-7209,-3872,3175,262,24,-2069,-67,-4144,-2969,7126
3,0.5543437773296925,-45,704,881,-389,-4219,1908,6183,5763,4417,1248,-4041,251,4335,22,2709,-6025,805
4,0.7956370852034238,-9,-7131,-6711,-6456,7972,-386,-3874,2187,-1390,-34,5694,47,19,141,1558,6538,-7794
5,1.0539086405128413,94,-7729,-2696,7459,-6409,7397,-4188,-3212,-4996,-1954,-1660,47,4364,100,1566,-4003,-2008
6,1.2936055201435204,20,2712,5085,6608,-6516,7435,-4408,6703,4651,623,236,110,-4630,-41,4148,-4516,-2631
7,1.5486979038593536,-43,-1185,7526,-3841,-837,7144,3176,5278,-2926,-1216,-5831,50,-2525,114,-267,635,6126
8,1.8066812211200658,26,-7643,-7523,-5251,-4613,3440,5869,-6124,-4013,6654,-6424,44,-1755,115,-6636,-1166,-7794
9,2.0553840429876686,-86,1528,-7625,-7471,2055,6905,-5889,-3982,3651,-3353,-5074,60,560,-46,110,1340,-62
10,2.307604309885838,25,3622,-6871,-792,144,5551,-494,958,642,-514,-5930,63,-3781,9,-535,-5439,-372
11,2.5103447096129954,104,-2476,190,4654,4002,5675,460,3310,-6333,724,5665,28,-1624,-10,-8044,-1596,-3822
12,2.5771483677558273,144,-5255,5506,1918,-2720,3300,8002,6622,-22,1471,-6899,56,195,-6,-7754,3803,-570
13,2.651350420917358,38,-8,-1633,-304,4107,6863,-1317,-6260,-2173,7176,-5775,32,4194,95,7267,385,7943
14,2.720567324325538,90,4673,-5761,2589,-785,1944,-3140,2972,5032,-6467,-1379,86,-2473,47,-3098,5348,1313
15,2.793678007308588,94,1040,-876,-2323,-495,-6950,1346,2796,-2495,3873,-3764,115,-7258,-104,-3551,4350,8090
16,2.8604025496665377,79,7911,-592,-2950,5737,3573,-4683,-2077,-7813,-4084,7864,92,477,93,5355,-3122,7957
17,2.9361899120959483,22,7328,-796,-6402,-5739,2489,-7434,3050,748,7412,2675,106,-5003,-74,8104,2677,8163
18,3.0121739948553357,8,-3775,-2581,3085,34,6377,-677,-5546,2188,-1150,6399,127,6120,96,-3891,-3776,5353
19,3.0789070902711106,141,-7780,-4368,-7325,-6573,5088,-4336,-3152,5808,-966,5151,125,2116,10,-7933,2880,4201
20,3.154614909262748,-85,7611,2589,-6574,2560,-7437,3299,8128,5159,5591,7822,103,-4887,-19,-8081,-7730,-5120
21,3.2245588225860597,91,7858,6892,-5418,-5697,-7965,1866,-6015,4568,-3179,-5138,30,6688,16,-1566,6904,-5798
22,3.297060955504855,102,-84,-5980,4183,-1798,-2256,3010,-3703,-6554,-5503,960,224,2529,-86,-4803,-5572,-4859
23,3.363777372457871,138,-655,93,3014,6657,-4661,-2114,323,-3740,7283,-1143,50,3644,-67,3671,6377,-1701
24,3.438594818129917,96,2755,-563,7011,-3059,-3563,7604,5043,-566,2021,3996,241,6791,92,-2432,6495,7204
25,3.508895821617426,-20,-7838,-4391,188,2025,7487,-1827,-1466,-7823,-6226,-3415,251,697,109,714,-6420,1720
26,3.585641126523246,65,-6371,-6307,7811,-3500,-4258,-2773,5852,2138,4668,2788,59,6678,-4,-1703,-5,3190
27,3.6611697589534478,103,5972,-7497,4449,4808,921,1422,3038,3179,1746,7357,233,2409,-62,1172,-72,3081
28,3.7287145395568233,-51,-6643,7367,-7595,6687,-4417,-7614,3882,-6230,4155,-1086,18,4337,-15,-1746,-4421,8041
29,3.803591001327862,40,2245,3389,-6242,1412,2204,-3117,-2784,-4044,-4832,-5671,55,-7762,90,3638,1570,1358
30,3.8685459160218016,79,456,-592,-2182,5737,-5026,-4683,-7811,-7813,4253,7864,46,477,93,5355,8097,-58
31,3.9412541776341814,-33,4433,7781,-7384,3252,1688,-2069,-6303,-1771,-369,-4586,16,3451,143,3679,6806,-4975
32,4.010270084183472,-13,-4440,5031,-3052,-1497,5590,-1960,-3230,-7348,7331,-1881,38,-3939,33,-7149,-1903,-5352
33,4.082072149319283,7,-7722,4259,2920,-2850,-6108,-7696,-6354,-4795,2431,-1516,121,5040,-78,557,1779,62
34,4.149040453825248,25,-3039,4357,-6662,6502,6844,-6276,-3772,5021,2526,4047,31,2698,106,7505,8146,-3766
35,4.2163534465615635,49,-6203,7332,3655,3310,-2972,2979,6625,4148,3311,-2071,63,2290,-46,4159,-5205,-3479
36,4.290865120416363,-10,2426,5255,-1171,-5243,4852,-5046,7509,-4575,5767,-7742,98,6930,147,4518,-2138,-1179
37,4.357587952162747,15,-7377,3661,2202,-3028,-6684,7279,-1014,2140,-6444,-5168,20,-3479,68,-2332,-7138,2832
38,4.4280185344763066,140,1643,4039,5217,2254,-3686,1538,-3922,-2208,-1016,-504,224,-2261,70,-4709,433,3685
39,4.4980039301300705,-50,4005,733,316,-1530,-1728,-2104,2534,5819,-69,2543,19,-162,51,3062,-6619,399
40,4.57177918570613,7,-99,4324,-1393,2504,-2215,7006,-7948,7945,4647,5060,126,-2859,-9,6826,-6355,-3248
41,4.640288323579283,-61,7575,-1129,3971,784,-6455,-1405,462,2840,6810,-6951,28,1647,132,-133,5215,7395
42,4.717235480649776,-73,-5527,3719,2643,-6371,-1013,-3972,6784,8113,-6956,-4310,237,8134,124,6787,7951,-466
43,4.784480476576382,-44,-2455,-4966,4068,-1252,-3389,-2618,-3466,6214,5172,2656,19,3513,67,416,-5152,-8024
44,4.861142389168408,81,3505,-7380,5359,4118,5772,-1155,-6795,-5952,4988,-1788,253,7406,80,-2765,-7488,-603
45,4.932509103660923,148,-7056,4318,2749,7103,-5661,-7337,4799,-4332,-1572,8127,27,505,-65,-4396,-6700,36
46,5.000533710808285,145,-6808,5182,5289,-7020,7804,-7376,5259,3369,6919,-4625,42,-4386,102,-4188,6719,-3027
