Sampling Freq:,Counter:,Time:,Y:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,Unknown:,T8:,X:,O2:,O1:,AF3:
,1,8.553057825085691e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0.02914240627452322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0.05739957106415007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,0.08491390278166823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,0.11263094196964092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,0.14086244758579253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,0.16901312680549704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,0.19788611175853008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,0.22592773949096476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,0.2540690103470617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,11,0.2830865419773387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,12,0.3118735686992296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,13,0.3407461259993714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,0.37097690888213675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,15,0.39983321537241084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,16,0.4308953554757745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,17,0.45968879699103427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,18,0.4881046210033165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,19,0.5166654193457338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,20,0.5447985647968969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,21,0.5738071157164576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,22,0.6026954961735758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,23,0.6308992043517958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,24,0.6595776072393081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,25,0.6879904376813516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,26,0.7165555125526815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,27,0.7441348475096703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,28,0.7718630056728156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,29,0.8005816079321059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,30,0.8293823195465169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,31,0.8613707558123374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,32,0.8910934870602927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,33,0.9212075207037456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,34,0.9499543480538586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,35,0.9782525675210458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,1.0093681642358163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,37,1.041420748435325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
