Counter:,Time:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,T8:,O2:,O1:,AF3:
1,0.02162431468477638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0670124960442023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.08282969970149764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.10069536508805392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.1172267506008536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.13329669765731245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.15312957055004833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.1704884661768605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.18836525056236475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.21253153946816972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.23346775917958895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.2533660631045956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.2719741354978318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.2940111361051002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.31317302017670656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.33285535892983914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.3520501723444837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.3817900732998623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.3988256626495719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.41580180812029044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.43371237715644434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.4506568762455417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.4703952376472198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.4881693851193582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.5065007655003122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.5252978608756639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.5397435787781075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.5544856607678952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.569480913810652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5857899193444922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.6008955070691174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.6164869095170078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.6314872944054329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.6464851133710239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.6617288332748873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.6779151021664942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.6931263203811251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.7075279899415825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.7224120529948596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.7368492178211894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.7520792528032707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.7663958192563955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.7829845103791578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.7980144033801757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.8130434410735821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.8291920764302881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
